CodMun,Uf,Cod Uf,Desc Mun,PopMun,Faixa_pop,Regiao,MASS01,MASS03,MASS04,MASS05,MASS051,MASS06,MASS07,MASS091,MASS092,MASS093,MASS094,MASS095,MASS096,MASS097,MASS098,MASS099,MASS0910,MASS0911,MASS0912,MASS0913,MASS10,MASS10a,MASS10b1,MASS10b2,MASS10b3,MASS10b4,MASS10b5,MASS10bb6,MASS10b7,MASS11,MASS11a,MASS1111,MASS1112,MASS12,MASS13,MASS1311,MASS1312,MASS1313,MASS16,MASS161a,MASS161b,MASS161c,MASS162,MASS17,MASS18,MASS191,MASS192,MASS193,MASS20,MASS2011,MASS2012,MASS2013,MASS2014,MASS2015,MASS2016,MASS2017,MASS2018,MASS2019,MASS211,MASS212,MASS213,MASS214,MASS215,MASS216,MASS217,MASS218,MASS22,MASS221,MASS23,MASS241,MASS242,MASS243,MASS244,MASS245,MASS246,MASS247,MASS248,MASS249,MASS2410,MASS2411,MASS2412,MASS2413,MASS24131,MASS2414,MASS2415,MASS2416,MASS2417,MASS2418,MASS2419,MASS251,MASS2511,MASS252,MASS253,MASS2531,MASS254,MASS2541,MASS255,MASS256,MASS2561,MASS257,MASS258,MASS259,MASS2510,MASS2511.1,MASS2512,MASS2513,MASS2514,MASS2515,MASS2516,MASS2517,MASS2518,MASS2519,MASS261,MASS262,MASS263,MASS264,MASS265,MASS266,MASS267,MASS268,MASS269,MASS2610,MASS2611,MASS2612,MASS2613,MASS2614,MASS2615,MASS27,MASS2711,MASS2712,MASS2713,MASS2714
1500107,PA,15,Abaetetuba,158188,6 - 100001 até 500000,1 - Norte,Secretaria municipal exclusiva,Feminino,58,Parda,Sim,Mestrado,Assistência social,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,1997,2022,-,Sim,Sim,Não,Sim,Não,Sim,97,1997,Ativo,Paritário,36,24,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Sim,9,Sim,Sim,2,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,-,Sim,Sim,Sim,Sim,Não
1500131,PA,15,Abel Figueiredo,7030,2 - 5001 até 10000,1 - Norte,Secretaria municipal exclusiva,Feminino,28,Parda,Sim,Ensino superior completo,Enfermagem,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,2022,-,Não foi atualizado,Sim,Não,-,-,-,Sim,245,2020,Ativo,Paritário,9,16,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,-,Sim,Não,Não,Não,Não,Não,Sim,1,Não,Não,-,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,-,Sim,Sim,Sim,Sim,Sim
1500206,PA,15,Acará,59023,5 - 50001 até 100000,1 - Norte,Secretaria municipal exclusiva,Masculino,35,Parda,Sim,Ensino superior completo,Outra,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Sim,2022,-,Não foi atualizado,Sim,Sim,Sim,Sim,Não,Sim,186,2007,Ativo,Paritário,15,16,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,-,Não,Não,Não,Não,Não,Não,Sim,3,Não,Sim,1,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,-,Sim,Sim,Sim,Sim,Sim
1500305,PA,15,Afuá,37765,4 - 20001 até 50000,1 - Norte,Secretaria municipal em conjunto com outras políticas setoriais,Feminino,42,Parda,Não,Especialização,Assistência social,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,2016,2023,-,Sim,Sim,Sim,Sim,Não,Sim,158,1997,Ativo,Paritário,12,18,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,-,Não,Não,Não,Não,Não,Não,Sim,1,Sim,Sim,1,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,-,Sim,Sim,Sim,Sim,Sim
1500347,PA,15,Água Azul do Norte,18080,3 - 10001 até 20000,1 - Norte,Secretaria municipal exclusiva,Feminino,50,Branca,Não,Ensino superior completo,Administração,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,2005,2022,-,Sim,Sim,Sim,Sim,Não,Sim,424,2015,Ativo,Paritário,8,16,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,-,Sim,Não,Sim,Não,Não,Não,Sim,2,Não,Sim,1,Sim,1,Não,Não,-,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,-,Sim,Sim,Sim,Não,Sim
1500404,PA,15,Alenquer,69377,5 - 50001 até 100000,1 - Norte,Secretaria municipal exclusiva,Masculino,45,Parda,Sim,Ensino superior incompleto,-,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,2015,2021,-,Sim,Sim,Sim,Sim,Não,Sim,19,1997,Ativo,Paritário,26,24,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Sim,2,Sim,Sim,1,Não,-,Não,Não,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,-,Sim,Sim,Sim,Sim,Sim
1500503,PA,15,Almeirim,34280,4 - 20001 até 50000,1 - Norte,Secretaria municipal exclusiva,Masculino,39,Parda,Sim,Ensino médio (2º Grau) completo,-,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,2021,2021,-,Sim,Sim,Sim,Sim,Não,Sim,515,1997,Ativo,Paritário,15,24,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,-,Não,Não,Não,Não,Não,Não,Sim,2,Sim,Sim,1,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,-,Sim,Sim,Sim,Sim,Sim
1500602,PA,15,Altamira,126279,6 - 100001 até 500000,1 - Norte,Secretaria municipal exclusiva,Feminino,40,Parda,Não,Especialização,Assistência social,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,2016,2022,-,Sim,Não,-,-,-,Sim,3213,2016,Ativo,Paritário,12,20,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Não,-,Sim,Não,Sim,Não,Não,Não,Sim,3,Sim,Sim,1,Não,-,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,-,Sim,Sim,Sim,Sim,Sim
1500701,PA,15,Anajás,28011,4 - 20001 até 50000,1 - Norte,Secretaria municipal em conjunto com outras políticas setoriais,Feminino,38,Parda,Não,Ensino superior completo,Assistência social,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,2022,-,Não foi atualizado,Não,Não,-,-,-,Sim,250,2017,Ativo,Paritário,18,16,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,1,Sim,Sim,1,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Sim,Sim,Sim,Sim,Sim
1500800,PA,15,Ananindeua,478778,6 - 100001 até 500000,1 - Norte,Secretaria municipal em conjunto com outras políticas setoriais,Masculino,50,Branca,Sim,Ensino superior completo,Direito,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,2021,2023,-,Sim,Sim,Sim,Sim,Não,Sim,1262,1997,Ativo,Paritário,12,36,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,-,Sim,Não,Sim,Não,Não,Não,Sim,10,Não,Sim,2,Sim,1,Não,Não,-,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,-,Sim,Sim,Sim,Sim,Sim
