Temas disponíveis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,variável
,,,,,
1. RECURSOS HUMANOS POR VÍNCULO,,,,,título link
2. ASSISTÊNCIA SOCIAL,,,,,título link
3. TRABALHO E INCLUSÃO PRODUTIVA,,,,,título link
4. SEGURANÇA ALIMENTAR E NUTRICIONAL,,,,,título link
5. POLÍTICA PARA MULHERES,,,,,título link
6. Segurança Pública,,,,,título link
7. DIREITOS HUMANOS,,,,,título link
8. PRIMEIRA INFÂNCIA,,,,,título link
,,,,,
,,,,,
Código do Município,,,,,CodMun
Código da Unidade da Federação,,,,,UF
Sigla da Unidade da Federação,,,,,Cod UF
Nome do Município,,,,,Mun
População dos Municípios publicada no DOU em 2023*,,,,,PopMun
Faixa da população,,,,,Faixa_pop
Grande Região,,,,,Regiao
"(*) Em anos de Censo Demográfico, o IBGE divulga os dados de população recenseada. Para 2023, em cumprimento ao Art. 102 da Lei n° 8.443, de 16.07.1992, foram publicadas no Diário Oficial da União, em 31 de agosto de 2023, as populações do Censo Demográfico 2022, com atualizações de limites territoriais que tenham sido comunicadas ao IBGE entre 1 de agosto de 2022 e 30 de abril de 2023, no âmbito dos acordos de cooperação técnica mantidos com órgãos estaduais, visando à consolidação dos limites.",,,,,
,,,,,
1. RECURSOS HUMANOS POR VÍNCULO,,,,,
1.1 Composição do quadro de pessoal da administração direta,,,,subtítulo link,
1.2 Composição do quadro de pessoal da administração indireta,,,,subtítulo link,
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
1. RECURSOS HUMANOS POR VÍNCULO,,,,,
1.1 Composição do quadro de pessoal da administração direta,,,,,
,Estatutários,,,,MREH0111
,Celetistas,,,,MREH0112
,Somente comissionados,,,,MREH0113
,Estagiários,,,,MREH0114
,Sem vínculo permanente,,,,MREH0115
Total (1),,,,,MREH0116
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
(1) Inclusive os sem declaração de vínculo.,,,,,
"(*) Não soube informar - sabe que existe, mas não soube informar.",,,,,
,,,,,
1.2 Composição do quadro de pessoal da administração indireta,,,,,
Administração indireta - existência,,,,,MREH02
,Estatutários,,,,MREH0311
,Celetistas,,,,MREH0312
,Somente comissionados,,,,MREH0313
,Estagiários,,,,MREH0314
,Sem vínculo permanente,,,,MREH0315
Total (1),,,,,MREH0316
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
(1) Inclusive os sem declaração de vínculo.,,,,,
"(*) Não soube informar - sabe que existe, mas não soube informar.",,,,,
,,,,,
2. ASSISTÊNCIA SOCIAL,,,,,
2.1 Órgão gestor da assistência social e perfil do gestor,,,,,subtítulo link
2.2 Capacitação do recursos humanos da área de assistência social,,,,,subtítulo link
"2.3 Apoio técnico do órgão gestor da assistência social do estado, Plano Municipal de Assistência Social e Cadastramento Único para Programas Sociais do Governo Federal",,,,,subtítulo link
2.4 Conselho e Fundo Municipal de Assistência Social,,,,,subtítulo link
2.5 Serviços socioassistenciais,,,,,subtítulo link
2.6 Unidades físicas que existem no município,,,,,subtítulo link
2.7 Serviços sociassistenciais a que grupos específicos,,,,,subtítulo link
2.8 Concessão de benefícios eventuais,,,,,subtítulo link
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
2. ASSISTÊNCIA SOCIAL,,,,,
2.1 Órgão gestor da assistência social e perfil do gestor,,,,,
Caracterização do órgão gestor ,,,,,MASS01
,,,,,
Perfil do gestor:,,,,,
,Sexo,,,,MASS03
,Idade ,,,,MASS04
,Cor/raça,,,,MASS05
,,Este quesito foi respondido pelo próprio titular,,,MASS051
,Escolaridade,,,,MASS06
,,Formação de nível superior do titular do órgão gestor,,,MASS07
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
"(**)Sem gestor - apesar de ter estrutura para a política, no momento da coleta da informação não tinha gestor nomeado.",,,,,
,,,,,
2.2 Capacitação do recursos humanos da área de assistência social,,,,,
"No ano de 2022, o pessoal ocupado na área de assistência social no município participou de cursos de capacitação em quais grupos de temas:",,,,,
,"Política Nacional de Assistência Social, Organização do Sistema Único da Assistência Social (SUAS) e Legislação correlata",,,,MASS091
,Organização e Serviços da Proteção Social Básica,,,,MASS092
,Organização e Serviços da Proteção Social Especial,,,,MASS093
,Gestão e financiamento do SUAS,,,,MASS094
,Controle Social,,,,MASS095
,Atendimento de povos e comunidades tradicionais,,,,MASS096
,Atendimento a usuários de álcool e outras drogas,,,,MASS097
,Inclusão de pessoas com deficiência,,,,MASS098
,"Vigilância socioassistencial, monitoramento e avaliação",,,,MASS099
,Planejamento e gestão,,,,MASS0910
,Violências e violações de direitos,,,,MASS0911
,Outros,,,,MASS0912
,Não participou de nenhum dos cursos citados,,,,MASS0913
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
"2.3 Apoio técnico do órgão gestor da assistência social do estado, Cadastramento Único para Programas Sociais do Governo Federal e Plano Municipal de Assistência Social ",,,,,
A gestão municipal de assistência social recebe orientações e apoio técnico do órgão gestor da assistência social do estado,,,,,MASS10
,,,,,
O Cadastramento Único para Programas Sociais do Governo Federal é realizado no município pelo órgão gestor da assistência social,,,,,MASS10a
,O órgão gestor de assistência social utiliza o Cadastro Único para Programas Sociais para:,,,,
,,Definição de público alvo de programas e serviços,,,MASS10b1
,,Elaboração de diagnóstico territorial,,,MASS10b2
,,Identificação de crianças e adolescentes em situação de trabalho infantil,,,MASS10b3
,,Identificação de população em situação de rua,,,MASS10b4
,,Identificação de pessoas com deficiência,,,MASS10b5
,,Identificação de povos e comunidades tradicionais,,,MASS10b6
,,Outra finalidade,,,MASS10b7
,,,,,
Plano Municipal de Assistência Social - existência,,,,,MASS11
,Ano da última atualização do plano,,,,MASS111
,O plano foi aprovado pelo Conselho Municipal de Assistência Social,,,,MASS12
,O desenvolvimento do plano é avaliado anualmente,,,,MASS13
,,A avaliação anual é realizada pelo: ,,,
,,,Órgão gestor da assistência social,,MASS1311
,,,Conselho Municipal de Assistência Social,,MASS1312
,,,Outro,,MASS1313
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
2.4 Conselho e Fundo Municipal de Assistência Social,,,,,
Conselho Municipal de Assistência Social - existência,,,,,MASS16
,Lei de criação,,,,MASS161a
,Ano de criação,,,,MASS161b
,O conselho está,,,,MASS161c
,Formação,,,,MASS162
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses,,,,MASS17
,Número de conselheiros (titulares e suplentes),,,,MASS18
,Capacitação para os membros:,,,,
,,Continuada,,,MASS191
,,Eventualmente,,,MASS192
,,Não realiza,,,MASS193
,Disponibiliza infraestrutura para o funcionamento,,,,MASS20
,,Sala própria,,,MASS2011
,,Computador,,,MASS2012
,,Impressora,,,MASS2013
,,Acesso à internet,,,MASS2014
,,Veículo próprio,,,MASS2015
,,Telefone,,,MASS2016
,,Diárias,,,MASS2017
,,Dotação orçamentária própria,,,MASS2018
,,Transporte/locomoção,,,MASS2019
,Composição do Conselho:,,,,
,,Representante governamental da área de assistência social,,,MASS211
,,Representante governamental da área de saúde,,,MASS212
,,Representante governamental da área de educação,,,MASS213
,,Representante governamental de outras áreas,,,MASS214
,,Representante da sociedade civil de entidades e organizações da assistência social,,,MASS215
,,Representante da sociedade civil de organização de trabalhadores,,,MASS216
,,Representante da sociedade civil de organização de usuários dos serviços socioassistenciais,,,MASS217
,,Representante da sociedade civil de usuários dos serviços dos serviços socioassistenciais,,,MASS218
,,,,,
Fundo Municipal de Assistência Social - existência ,,,,,MASS22
,Responsável pela gestão do fundo,,,,MASS221
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
2.5 Serviços socioassistenciais,,,,,
O município executa diretamente serviços socioassistenciais,,,,,MASS23
,Serviço de Proteção e Atendimento Integral à Família (PAIF/CRAS),,,,MASS241
,Serviço de Convivência para crianças de 0 a 6 anos,,,,MASS242
,Serviço de Convivência para crianças e adolescentes de 6 a 15 anos,,,,MASS243
,Serviço de Convivência para adolescentes e jovens de 15 a 17 anos,,,,MASS244
,Serviço de Convivência para jovens e adultos de 18 a 59 anos,,,,MASS245
,Serviço de Convivência para idosos,,,,MASS246
,Serviço de Proteção Social Básica no Domicílio para Pessoas com Deficiência e Idosas,,,,MASS247
,Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos (PAEFI/CREAS),,,,MASS248
,Serviço Especializado para Pessoas em Situação de Rua,,,,MASS249
,"Serviço Especializado para Pessoas com Deficiência, Idosas e suas Famílias",,,,MASS2410
,Serviço de Proteção Social a Adolescentes em Cumprimento de Medida Socioeducativa de Liberdade Assistida (LA) e de Prestação de Serviços à Comunidade (PSC),,,,MASS2411
,Serviço Especializado em Abordagem Social,,,,MASS2412
,Programa/Serviço de acolhimento em Família Acolhedora para Criança e Adolescente,,,,MASS2413
,,É regulamentado por lei municipal,,,MASS24131
,Serviço de Acolhimento Institucional para crianças e adolescentes,,,,MASS2414
,Serviço de Acolhimento Institucional para adultos e famílias,,,,MASS2415
,Serviço de Acolhimento Institucional para Idosos,,,,MASS2416
,Serviço de Acolhimento Institucional para jovens e adultos com deficiência,,,,MASS2417
,Serviço de Acolhimento Institucional para mulheres em situação de violência,,,,MASS2418
,Serviço de Acolhimento em Repúblicas para Jovens (maiores de 18 anos),,,,MASS2419
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
2.6 Unidades físicas que existem no município,,,,,
Centro de Referência de Assistência Social (CRAS),,,,,MASS251
,Quantos,,,,MASS2511
Centro de convivência,,,,,MASS252
Centro de Referência Especializado de Assistência Social (CREAS),,,,,MASS253
,Quantos,,,,MASS2531
Centro de Referência Especializado para População em Situação de Rua,,,,,MASS254
,Quantos,,,,MASS2541
Centro dia,,,,,MASS255
Unidade de atendimento ao adolescente em conflito com a lei,,,,,MASS256
,Quantos,,,,MASS2561
Abrigo institucional ou Casa lar para crianças e adolescentes,,,,,MASS257
Abrigo institucional para pessoas com deficiência,,,,,MASS258
Residência inclusiva,,,,,MASS259
Abrigo institucional ou Casa de passagem para população em situação de rua,,,,,MASS2510
República para adultos em processo de saída das ruas,,,,,MASS2511
Abrigo institucional ou Casa de passagem para migrantes e/ou refugiados,,,,,MASS2512
Abrigo para famílias desabrigadas/desalojadas vítimas de desastres,,,,,MASS2513
Abrigo institucional para mulheres em situação de violência,,,,,MASS2514
Abrigo institucional ou Casa lar para idosos,,,,,MASS2515
República para idosos,,,,,MASS2516
República para jovens egressos de serviço de acolhimento,,,,,MASS2517
Centro de múltiplo uso,,,,,MASS2518
Unidades exclusivas de cadastramento e/ou revisão cadastral,,,,,MASS2519
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
2.7 Serviços sociassistenciais para grupos específicos,,,,,
O município realiza prestação de serviços sociassistenciais a:,,,,,
,Povos indígenas,,,,MASS261
,Povos ciganos,,,,MASS262
,Comunidades quilombolas,,,,MASS263
,Ribeirinhos,,,,MASS264
,Povos de matriz africana,,,,MASS265
,"Outros povos ou
comunidades tradicionais",,,,MASS266
,População em situação de rua,,,,MASS267
,Agricultores familiares,,,,MASS268
,Assentados da reforma agrária,,,,MASS269
,Pescadores artesanais,,,,MASS2610
,Catadores de materiais recicláveis,,,,MASS2611
,Migrantes/Imigrantes/Refugiados/Apátridas,,,,MASS2612
,Atingidas por empreendimentos de infraestrutura,,,,MASS2613
,Encarcerado/egressos do sistema carcerário,,,,MASS2614
,Nenhum dos citados,,,,MASS2615
,,,,,
