CodMun,UF,Cod UF,Mun,PopMun,Faixa_pop,Regiao,MPPM01,MPPM02,MPPM031,MPPM032,MPPM033,MPPM034,MPPM035,MPPM036,MPPM05,MPPM06,MPPM07,MPPM071,MPPM08,MPPM10a1,MPPM10a2,MPPM10a3,MPPM10a4,MPPM10a5,MPPM10a6,MPPM10a7,MPPM10a8,MPPM10a9,MPPM10a10,MPPM10a11,MPPM11,MPPM11A,MPPM111,MPPM1121,MPPM121,MPPM122,MPPM123,MPPM124,MPPM125,MPPM126,MPPM127,MPPM128,MPPM129,MPPM1210,MPPM1211,MPPM13,MPPM131a,MPPM131b,MPPM131c,MPPM132,MPPM14a1,MPPM14a2,MPPM14a3,MPPM14a4,MPPM14,MPPM15,MPPM161,MPPM162,MPPM163,MPPM17,MPPM1711,MPPM1712,MPPM1713,MPPM1714,MPPM1715,MPPM1716,MPPM1717,MPPM1718,MPPM1719,MPPM18,MPPM19,MPPM20,MPPM201,MPPM202,MPPM211,MPPM212,MPPM213,MPPM214,MPPM215,MPPM216,MPPM217,MPPM218,MPPM219,MPPM2110,MPPM2111,MPPM2112,MPPM2113,MPPM24a1,MPPM24a11,MPPM24a2,MPPM24a21,MPPM24a3,MPPM24a31,MPPM24a4,MPPM24a41,MPPM24a5,MPPM24a51,MPPM25,MPPM251,MPPM252
1500107,PA,15,Abaetetuba,158188,6 - 100001 até 500000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,211,2006,Ativo,Paritário,Não,Sim,Não,Não,12,20,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Ao órgão gestor da assistência social,Representante da sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Sim,1,Não,-,Não,-,Não,-,Sim,Sim,52
1500131,PA,15,Abel Figueiredo,7030,2 - 5001 até 10000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,28,Parda,Não,Ensino superior completo,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,-,-,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1500206,PA,15,Acará,59023,5 - 50001 até 100000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,264,2022,"Foi criado, mas não foi instalado",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Sim,4,Não,-,Não,-,Não,-,-
1500305,PA,15,Afuá,37765,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,42,Parda,Não,Especialização,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,1,Não,-,Não,-,Não,-,Sim,Não,-
1500347,PA,15,Água Azul do Norte,18080,3 - 10001 até 20000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,50,Branca,Não,Ensino superior completo,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,-,-,-,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1500404,PA,15,Alenquer,69377,5 - 50001 até 100000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1500503,PA,15,Almeirim,34280,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Não,-,Não,-,Não,-,Sim,1,Sim,Sim,38
1500602,PA,15,Altamira,126279,6 - 100001 até 500000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Sim,Sim,Sim,Feminino,40,Parda,Não,Especialização,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,-,-,-,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,3360,2021,Ativo,Paritário,Sim,Sim,Sim,Sim,5,20,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Ao órgão gestor da assistência social,Representante da sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1500701,PA,15,Anajás,28011,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,38,Parda,Não,Ensino superior completo,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,-,-,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Sim,1,Não,-,Não,-,Não,-,Não,-,-
1500800,PA,15,Ananindeua,478778,6 - 100001 até 500000,1 - Norte,Sim,Secretaria exclusiva,-,-,-,-,-,-,Feminino,53,Preta,Sim,Especialização,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,2016,Lei,2022,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,4225,2005,Ativo,Paritário,Sim,Sim,Sim,Sim,6,12,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,A outro órgão,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1500859,PA,15,Anapu,31850,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1500909,PA,15,Augusto Corrêa,44573,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Masculino,44,Parda,Não,Ensino médio (2º Grau) completo,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,-,-,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Sim,1950,2021,Ativo,Tem maior representação governamental,Sim,Sim,Não,Sim,12,24,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Ao órgão gestor da assistência social,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1500958,PA,15,Aurora do Pará,23774,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Não,-,Não,-,Não,-,Não,-,Sim,Sim,25
1501006,PA,15,Aveiro,18290,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,1,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501105,PA,15,Bagre,31892,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Masculino,43,Preta,Sim,Ensino superior incompleto,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,-,-,-,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Sim,52,2009,Inativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501204,PA,15,Baião,51641,5 - 50001 até 100000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Masculino,56,Branca,Sim,Ensino médio (2º Grau) incompleto,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,1442,2010,Ativo,Paritário,Sim,Não,Não,Não,9,20,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Ao órgão gestor da assistência social,Representante da sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501253,PA,15,Bannach,4031,1 - Até 5000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501303,PA,15,Barcarena,126650,6 - 100001 até 500000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,47,Parda,Sim,Especialização,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,2015,Portaria,Sem preríodo de vigência,Não,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,2107,2012,Ativo,Paritário,Sim,Sim,Sim,Sim,14,28,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Ao órgão gestor da assistência social,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,1,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501402,PA,15,Belém,1303403,7 - Maior que 500000,1 - Norte,Sim,Setor subordinado diretamente à chefia do Executivo,-,-,-,-,-,-,Masculino,66,Parda,Não,Doutorado,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,2010,Decreto,Sem preríodo de vigência,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,9584,2020,Inativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,"Sim, de todas",Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,-,Sim,5,Sim,1,Não,-,Não,-,Sim,1,Sim,Não,-
1501451,PA,15,Belterra,18099,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,-
1501501,PA,15,Benevides,63567,5 - 50001 até 100000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,1,Não,-,Não,-,Não,-,Sim,Não,-
1501576,PA,15,Bom Jesus do Tocantins,18005,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501600,PA,15,Bonito,12622,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
