CodMun,UF,Cod UF,Mun,PopMun,Faixa_pop,Regiao,MSEG01,MSEG03,MSEG04,MSEG05,MSEG051,MSEG06,MSEG07,MSEG071a,MSEG071b,MSEG071c,MSEG072,MSEG081,MSEG082,MSEG083,MSEG084,MSEG09,MSEG10,MSEG111,MSEG112,MSEG113,MSEG12,MSEG1211,MSEG1212,MSEG1213,MSEG1214,MSEG1215,MSEG1216,MSEG1217,MSEG1218,MSEG1219,MSEG13,MSEG14,MSEG15,MSEG161,MSEG162,MSEG163,MSEG164,MSEG165,MSEG166,MSEG167,MSEG168,MSEG169,MSEG1610,MSEG1611,MSEG17,MSEG18,MSEG19,MSEG27,MSEG271a,MSEG271b,MSEG281,MSEG282,MSEG283,MSEG291,MSEG292,MSEG293,MSEG294,MSEG295,MSEG296,MSEG301,MSEG302,MSEG303,MSEG311,MSEG312,MSEG313,MSEG314,MSEG315,MSEG316,MSEG317,MSEG318,MSEG319,MSEG3110,MSEG3111,MSEG3112,MSEG3113,MSEG3114,MSEG3115,MSEG3116,MSEG3117,MSEG3118,MSEG3119,MSEG3120,MSEG3121,MSEG3122,MSEG3123,MSEG32,MSEG33,MSEG34,MSEG35,MSEG361,MSEG362,MSEG363,MSEG364,MSEG37,MSEG381,MSEG382,MSEG383,MSEG384,MSEG385,MSEG386,MSEG387,MSEG388,MSEG389,MSEG3810,MSEG3811,MSEG3812,MSEG3813,MSEG3814,MSEG3815,MSEG3816,MSEG3817,MSEG3818,MSEG3819,MSEG3820,MSEG3821,MSEG3822,MSEG3823,MSEG391,MSEG392,MSEG393,MSEG394,MSEG395,MSEG396,MSEG397
1500107,PA,15,Abaetetuba,158188,6 - 100001 até 500000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,-,Sim,Sim,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1500131,PA,15,Abel Figueiredo,7030,2 - 5001 até 10000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1500206,PA,15,Acará,59023,5 - 50001 até 100000,1 - Norte,Não possui estrutura,-,-,-,-,-,Sim,227,2018,Inativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1500305,PA,15,Afuá,37765,4 - 20001 até 50000,1 - Norte,Setor subordinado diretamente à chefia do Executivo,Masculino,52,Branca,Não,Ensino superior completo,Sim,342,2011,Inativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Sim,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1500347,PA,15,Água Azul do Norte,18080,3 - 10001 até 20000,1 - Norte,Setor subordinado diretamente à chefia do Executivo,Masculino,53,Branca,Não,Ensino médio (2º Grau) incompleto,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Sim,446,2016,16,11,27,-,-,-,-,-,Sim,-,-,Sim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Outros,Nenhum tipo de arma,Sim,"Mais de R$1.000,00 a R$3.000,00",Sim,Não,Não,-,Não registram as ocorrências,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,-,-,-,-,-,-,Sim
1500404,PA,15,Alenquer,69377,5 - 50001 até 100000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1500503,PA,15,Almeirim,34280,4 - 20001 até 50000,1 - Norte,Setor subordinado a outra secretaria,Masculino,47,Parda,Sim,Ensino superior completo,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Sim,Não,Sim,148,1991,98,33,131,Sim,Não,Não,Não,Não,-,Não,Sim,-,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Não,-,-,Guarda Municipal,Nenhum tipo de arma,Não,"Até R$1.000,00",Não,Não,Não,Sim,Não registram as ocorrências,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,-
1500602,PA,15,Altamira,126279,6 - 100001 até 500000,1 - Norte,Secretaria municipal em conjunto com outras políticas setoriais,Masculino,55,Parda,Sim,Ensino médio (2º Grau) completo,Sim,1614,2005,Inativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,-,Sim,Sim,Sim,Sim,1521,2003,40,8,48,Sim,Não,Não,Não,Não,-,Não,Sim,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,Guarda Municipal,Apenas armas não letais,Sim,"Mais de R$3.000,00 a R$5.000,00",Sim,Sim,Não,-,Ambos,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,-
1500701,PA,15,Anajás,28011,4 - 20001 até 50000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1500800,PA,15,Ananindeua,478778,6 - 100001 até 500000,1 - Norte,Secretaria municipal exclusiva,Masculino,65,Preta,Sim,Ensino superior completo,Sim,2727,2015,Ativo,Paritário,Sim,Sim,Sim,Sim,2,16,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,-,Não,Sim,Sim,Sim,1152,1992,156,20,176,Sim,Sim,Sim,Sim,Sim,-,Sim,Não,-,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,-,-,Guarda Municipal,Nenhum tipo de arma,Não,"Mais de R$5.000,00",Sim,Sim,Sim,-,Apenas em livros/formulários impressos (registro manual),Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,-
