municipality_code,cnes_active_establishments,cnes_ubs,cnes_hospitals,cnes_caps,cnes_emergency_units,cnes_obstetric_centers,cnes_health_service_deficit
150010,169,0,0,0,0,0,4
150013,8,0,0,0,0,0,4
150020,40,0,0,0,0,0,4
150030,44,0,0,0,0,0,4
150034,38,0,0,0,0,0,4
150040,29,0,0,0,0,0,4
150050,48,0,0,0,0,0,4
150060,270,0,0,0,0,0,4
150070,32,0,0,0,0,0,4
150080,455,0,0,0,0,0,4
150085,45,0,0,0,0,0,4
150090,45,0,0,0,0,0,4
150095,29,0,0,0,0,0,4
150100,17,0,0,0,0,0,4
150110,19,0,0,0,0,0,4
150120,41,0,0,0,0,0,4
150125,17,0,0,0,0,0,4
150130,166,0,0,0,0,0,4
150140,3199,0,0,0,0,0,4
150145,25,0,0,0,0,0,4
150150,50,0,0,0,0,0,4
150157,27,0,0,0,0,0,4
150160,22,0,0,0,0,0,4
150170,134,0,0,0,0,0,4
150172,40,0,0,0,0,0,4
150175,16,0,0,0,0,0,4
150178,57,0,0,0,0,0,4
150180,124,0,0,0,0,0,4
150190,32,0,0,0,0,0,4
150195,31,0,0,0,0,0,4
150200,22,0,0,0,0,0,4
150210,209,0,0,0,0,0,4
150215,311,0,0,0,0,0,4
150220,135,0,0,0,0,0,4
150230,54,0,0,0,0,0,4
150240,284,0,0,0,0,0,4
150250,29,0,0,0,0,0,4
150260,22,0,0,0,0,0,4
150270,121,0,0,0,0,0,4
150275,27,0,0,0,0,0,4
150276,24,0,0,0,0,0,4
150277,27,0,0,0,0,0,4
150280,27,0,0,0,0,0,4
150285,18,0,0,0,0,0,4
150290,35,0,0,0,0,0,4
150293,55,0,0,0,0,0,4
150295,37,0,0,0,0,0,4
150300,14,0,0,0,0,0,4
150304,30,0,0,0,0,0,4
150307,30,0,0,0,0,0,4
150309,47,0,0,0,0,0,4
150310,41,0,0,0,0,0,4
150320,52,0,0,0,0,0,4
150330,44,0,0,0,0,0,4
150340,24,0,0,0,0,0,4
150345,62,0,0,0,0,0,4
150350,29,0,0,0,0,0,4
150360,117,0,0,0,0,0,4
150370,44,0,0,0,0,0,4
150375,47,0,0,0,0,0,4
150380,83,0,0,0,0,0,4
150390,58,0,0,0,0,0,4
150400,29,0,0,0,0,0,4
150405,44,0,0,0,0,0,4
150410,18,0,0,0,0,0,4
150420,492,0,0,0,0,0,4
150430,31,0,0,0,0,0,4
150440,37,0,0,0,0,0,4
150442,79,0,0,0,0,0,4
150445,30,0,0,0,0,0,4
150450,17,0,0,0,0,0,4
150460,24,0,0,0,0,0,4
150470,43,0,0,0,0,0,4
150475,25,0,0,0,0,0,4
150480,74,0,0,0,0,0,4
150490,26,0,0,0,0,0,4
150495,24,0,0,0,0,0,4
150497,19,0,0,0,0,0,4
150500,21,0,0,0,0,0,4
150503,71,0,0,0,0,0,4
150506,77,0,0,0,0,0,4
150510,69,0,0,0,0,0,4
150520,34,0,0,0,0,0,4
150530,73,0,0,0,0,0,4
150540,23,0,0,0,0,0,4
150543,81,0,0,0,0,0,4
150548,46,0,0,0,0,0,4
150549,15,0,0,0,0,0,4
150550,156,0,0,0,0,0,4
150553,622,0,0,0,0,0,4
150555,21,0,0,0,0,0,4
150560,13,0,0,0,0,0,4
150563,27,0,0,0,0,0,4
150565,21,0,0,0,0,0,4
150570,16,0,0,0,0,0,4
150580,51,0,0,0,0,0,4
150590,37,0,0,0,0,0,4
150600,31,0,0,0,0,0,4
150610,25,0,0,0,0,0,4
150611,16,0,0,0,0,0,4
150613,187,0,0,0,0,0,4
150616,39,0,0,0,0,0,4
150618,57,0,0,0,0,0,4
150619,34,0,0,0,0,0,4
150620,50,0,0,0,0,0,4
150630,22,0,0,0,0,0,4
150635,25,0,0,0,0,0,4
150640,18,0,0,0,0,0,4
150650,87,0,0,0,0,0,4
150655,33,0,0,0,0,0,4
150658,29,0,0,0,0,0,4
150660,33,0,0,0,0,0,4
150670,56,0,0,0,0,0,4
150680,573,0,0,0,0,0,4
150690,14,0,0,0,0,0,4
150700,29,0,0,0,0,0,4
150710,21,0,0,0,0,0,4
150715,23,0,0,0,0,0,4
150720,35,0,0,0,0,0,4
150730,91,0,0,0,0,0,4
150740,22,0,0,0,0,0,4
150745,39,0,0,0,0,0,4
150746,11,0,0,0,0,0,4
150747,27,0,0,0,0,0,4
150750,22,0,0,0,0,0,4
150760,77,0,0,0,0,0,4
150770,25,0,0,0,0,0,4
150775,14,0,0,0,0,0,4
150780,27,0,0,0,0,0,4
150790,17,0,0,0,0,0,4
150795,54,0,0,0,0,0,4
150796,11,0,0,0,0,0,4
150797,30,0,0,0,0,0,4
150800,56,0,0,0,0,0,4
150803,39,0,0,0,0,0,4
150805,18,0,0,0,0,0,4
150808,83,0,0,0,0,0,4
150810,132,0,0,0,0,0,4
150812,47,0,0,0,0,0,4
150815,47,0,0,0,0,0,4
150820,38,0,0,0,0,0,4
150830,43,0,0,0,0,0,4
150835,39,0,0,0,0,0,4
150840,103,0,0,0,0,0,4
