municipality_code,cnes_physicians,cnes_physicians_weekly_hours,cnes_nurses,cnes_nurses_weekly_hours,cnes_psychologists,cnes_psychologists_weekly_hours,cnes_social_workers,cnes_social_workers_weekly_hours,cnes_multidisciplinary_staff_deficit
150010,313,9068.0,226,8737.0,37,1404.0,32,1292.0,0
150013,7,204.0,7,292.0,1,40.0,1,60.0,0
150020,35,1179.0,43,1574.0,3,130.0,4,184.0,0
150030,21,866.0,27,1184.0,2,80.0,4,160.0,0
150034,34,1094.0,44,1828.0,6,232.0,3,120.0,0
150040,29,1203.0,39,1688.0,6,260.0,8,290.0,0
150050,36,1272.0,46,2045.0,5,200.0,8,300.0,0
150060,333,12281.0,333,14713.0,42,1574.0,36,1284.0,0
150070,14,530.0,21,892.0,2,75.0,3,130.0,0
150080,1279,30324.0,782,31689.0,127,3640.0,126,4246.0,0
150085,22,750.0,32,1285.0,2,80.0,4,170.0,0
150090,61,1877.0,61,2536.0,8,340.0,12,440.0,0
150095,24,634.0,30,1220.0,6,180.0,5,140.0,0
150100,10,355.0,18,720.0,0,0.0,0,0.0,2
150110,15,524.0,21,952.0,1,40.0,2,110.0,0
150120,19,856.0,34,1356.0,2,92.0,7,280.0,0
150125,13,329.0,14,645.0,1,30.0,0,0.0,1
150130,355,7682.0,184,7120.0,49,1574.0,28,958.0,0
150140,6336,239903.0,3539,145214.0,775,24402.0,591,20932.0,0
150145,50,957.0,27,1092.0,3,100.0,1,40.0,0
150150,94,2252.0,79,2984.0,15,610.0,26,907.0,0
150157,19,678.0,16,610.0,5,200.0,2,80.0,0
150160,19,530.0,21,898.0,1,32.0,2,100.0,0
150170,251,7696.0,221,10847.0,30,1284.0,43,1611.0,0
150172,22,736.0,25,968.0,5,230.0,2,104.0,0
150175,8,257.0,15,600.0,1,20.0,1,20.0,0
150178,50,1669.0,99,4168.0,3,120.0,9,372.0,0
150180,198,5839.0,132,5816.0,24,1028.0,20,818.0,0
150190,34,1048.0,23,1004.0,3,110.0,7,190.0,0
150195,19,593.0,27,1100.0,4,150.0,6,200.0,0
150200,15,562.0,19,804.0,1,40.0,2,60.0,0
150210,153,5955.0,207,8236.0,18,666.0,44,1604.0,0
150215,361,15047.0,210,8084.0,70,2866.0,19,731.0,0
150220,291,6330.0,165,7384.0,34,1029.0,27,1009.0,0
150230,54,1757.0,47,2246.0,7,270.0,6,240.0,0
150240,692,18194.0,416,18469.0,61,2285.0,59,2157.0,0
150250,19,668.0,28,1240.0,2,80.0,1,40.0,0
150260,15,280.0,16,652.0,2,70.0,5,140.0,0
150270,124,4626.0,108,3754.0,20,610.0,9,310.0,0
150275,28,766.0,24,950.0,5,184.0,5,154.0,0
150276,21,618.0,23,910.0,2,60.0,2,110.0,0
150277,76,2468.0,39,1580.0,10,300.0,3,120.0,0
150280,37,1079.0,32,1280.0,3,120.0,5,180.0,0
150285,9,348.0,19,770.0,1,40.0,1,30.0,0
150290,34,1002.0,35,1430.0,4,165.0,3,100.0,0
150293,50,1421.0,52,2079.0,3,125.0,4,160.0,0
150295,34,957.0,21,844.0,5,128.0,5,185.0,0
150300,9,259.0,18,716.0,2,60.0,2,90.0,0
150304,27,777.0,25,1178.0,3,110.0,3,134.0,0
150307,21,728.0,34,1530.0,3,110.0,1,60.0,0
150309,34,815.0,53,1920.0,4,150.0,7,200.0,0
150310,17,640.0,19,860.0,1,40.0,2,80.0,0
150320,50,1571.0,59,2420.0,8,265.0,7,255.0,0
150330,47,1582.0,48,1964.0,8,340.0,9,340.0,0
150340,19,391.0,26,1030.0,2,50.0,2,60.0,0
150345,69,1727.0,52,2202.0,4,170.0,9,370.0,0
150350,42,1262.0,32,1333.0,3,160.0,10,410.0,0
150360,224,4954.0,273,11898.0,13,519.0,20,704.0,0
150370,49,1296.0,55,1990.0,4,190.0,10,330.0,0
150375,22,723.0,53,2100.0,1,40.0,4,160.0,0
150380,60,1697.0,42,1846.0,5,194.0,5,160.0,0
150390,76,2557.0,69,2710.0,5,260.0,4,160.0,0
150400,19,785.0,37,1406.0,6,230.0,6,220.0,0
150405,58,1697.0,32,1245.0,9,300.0,6,190.0,0
150410,10,308.0,13,540.0,2,88.0,1,30.0,0
150420,840,32417.0,444,16948.0,140,5110.0,60,1926.0,0
150430,39,1127.0,39,1552.0,4,140.0,8,197.0,0
150440,13,529.0,30,1252.0,2,80.0,4,160.0,0
150442,270,7083.0,226,9046.0,37,1286.0,52,1686.0,0
150445,30,792.0,29,1152.0,3,110.0,2,80.0,0
150450,16,663.0,22,1166.0,2,80.0,4,200.0,0
150460,35,1066.0,39,1574.0,4,160.0,6,190.0,0
150470,67,2276.0,80,3620.0,8,280.0,8,380.0,0
150475,23,720.0,30,1190.0,2,80.0,2,60.0,0
150480,55,1716.0,64,2560.0,3,110.0,6,240.0,0
150490,27,1141.0,32,1298.0,1,40.0,1,60.0,0
150495,21,690.0,23,1005.0,1,60.0,3,120.0,0
150497,29,802.0,20,760.0,3,110.0,3,90.0,0
150500,17,418.0,25,1054.0,1,45.0,2,75.0,0
150503,55,1513.0,56,2305.0,7,270.0,2,105.0,0
150506,84,2584.0,75,3019.0,6,245.0,9,300.0,0
150510,79,1768.0,56,2217.0,8,300.0,5,185.0,0
150520,15,620.0,29,1326.0,2,80.0,4,185.0,0
150530,147,3666.0,137,5693.0,14,549.0,10,366.0,0
150540,23,799.0,14,604.0,3,100.0,2,80.0,0
150543,252,6516.0,138,5512.0,12,337.0,12,343.0,0
150548,32,1184.0,35,1380.0,3,120.0,3,120.0,0
150549,13,415.0,12,505.0,1,20.0,0,0.0,1
150550,251,7965.0,169,6775.0,24,928.0,19,734.0,0
150553,565,16707.0,376,14695.0,127,4389.0,80,2782.0,0
150555,20,455.0,20,854.0,1,20.0,1,40.0,0
150560,9,209.0,16,644.0,2,40.0,2,70.0,0
150563,20,568.0,20,847.0,2,65.0,0,0.0,1
150565,26,742.0,28,1248.0,2,104.0,2,100.0,0
150570,20,794.0,22,920.0,2,90.0,3,110.0,0
150580,46,1555.0,63,2530.0,7,290.0,8,345.0,0
150590,19,756.0,24,1112.0,4,200.0,4,170.0,0
150600,19,735.0,33,1644.0,2,90.0,2,80.0,0
150610,12,424.0,16,670.0,1,50.0,1,40.0,0
150611,8,290.0,14,560.0,1,40.0,2,84.0,0
150613,253,10017.0,175,8560.0,28,1057.0,26,865.0,0
150616,65,1534.0,53,2204.0,4,135.0,4,130.0,0
150618,39,1211.0,20,830.0,6,280.0,5,165.0,0
150619,37,1233.0,38,1730.0,4,190.0,2,79.0,0
150620,93,2436.0,42,1662.0,6,192.0,7,270.0,0
150630,15,556.0,22,924.0,3,65.0,3,120.0,0
150635,32,956.0,31,1220.0,5,200.0,7,270.0,0
150640,8,285.0,12,508.0,0,0.0,2,80.0,1
150650,99,2563.0,71,2702.0,12,470.0,14,404.0,0
150655,16,725.0,30,1178.0,2,100.0,4,115.0,0
150658,25,850.0,25,1020.0,3,120.0,3,100.0,0
150660,36,1100.0,25,1209.0,3,140.0,4,160.0,0
150670,42,1529.0,42,1672.0,3,115.0,8,260.0,0
150680,787,26554.0,717,29755.0,99,3469.0,44,1598.0,0
150690,6,215.0,12,574.0,1,20.0,2,40.0,0
150700,60,1797.0,39,1679.0,5,146.0,10,325.0,0
150710,16,564.0,23,910.0,0,0.0,6,220.0,1
150715,22,621.0,23,922.0,3,110.0,2,70.0,0
150720,33,1109.0,46,1931.0,3,140.0,4,195.0,0
150730,72,2359.0,52,2079.0,5,160.0,7,220.0,0
150740,14,415.0,22,974.0,2,80.0,2,85.0,0
150745,30,806.0,36,1460.0,3,130.0,2,100.0,0
150746,5,230.0,9,350.0,1,30.0,1,40.0,0
150747,38,866.0,26,1064.0,2,70.0,5,192.0,0
150750,14,503.0,15,606.0,2,80.0,1,40.0,0
150760,69,1727.0,55,2256.0,4,170.0,12,470.0,0
150770,20,795.0,38,1580.0,1,40.0,3,120.0,0
150775,9,277.0,14,642.0,1,60.0,1,40.0,0
150780,13,441.0,19,914.0,3,100.0,0,0.0,1
150790,10,401.0,13,517.0,1,40.0,2,62.0,0
150795,158,3704.0,98,3834.0,10,422.0,12,430.0,0
150796,13,405.0,19,766.0,2,170.0,1,90.0,0
150797,39,930.0,32,1290.0,3,120.0,2,80.0,0
150800,66,1876.0,61,2370.0,8,170.0,9,290.0,0
150803,34,1097.0,35,1362.0,4,120.0,3,110.0,0
150805,19,432.0,21,800.0,1,40.0,1,40.0,0
150808,73,2438.0,34,1360.0,8,310.0,4,165.0,0
150810,284,8551.0,363,14506.0,37,1531.0,41,1540.0,0
150812,67,1654.0,63,2632.0,7,250.0,9,330.0,0
150815,35,1062.0,32,1280.0,3,140.0,4,130.0,0
150820,55,1345.0,48,1868.0,7,230.0,6,230.0,0
150830,54,1778.0,52,2138.0,7,280.0,14,550.0,0
150835,43,1298.0,64,2746.0,6,170.0,6,214.0,0
150840,102,3611.0,76,3082.0,9,318.0,7,280.0,0
