unit_code,cbo,hours_ambulatory,hours_other,hours_hospital_sus,municipality_code,profession_description,profession_group,weekly_hours
PA0000150010000000003406873200,225250,0.0,0.0,0.0,150010,MEDICO GINECOLOGISTA E OBSTETRA,physicians,0.0
PA0000150010000000003406873200,225250,20.0,0.0,0.0,150010,MEDICO GINECOLOGISTA E OBSTETRA,physicians,20.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,422110,0.0,36.0,0.0,150010,RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO,physicians,36.0
1500100073482,225125,5.0,0.0,5.0,150010,MEDICO CLINICO,physicians,10.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,225120,5.0,0.0,0.0,150010,MEDICO CARDIOLOGISTA,physicians,5.0
1500100073482,225260,5.0,0.0,5.0,150010,MEDICO NEUROCIRURGIAO,physicians,10.0
1500100073482,225270,5.0,0.0,5.0,150010,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,physicians,10.0
1500100073482,225109,5.0,0.0,5.0,150010,MEDICO NEFROLOGISTA,physicians,10.0
1500100073482,225203,5.0,0.0,5.0,150010,MEDICO EM CIRURGIA VASCULAR,physicians,10.0
1500100073482,225109,5.0,0.0,5.0,150010,MEDICO NEFROLOGISTA,physicians,10.0
1500100073482,225203,5.0,0.0,5.0,150010,MEDICO EM CIRURGIA VASCULAR,physicians,10.0
1500100073482,225270,5.0,0.0,5.0,150010,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,physicians,10.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,422110,0.0,36.0,0.0,150010,RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO,physicians,36.0
1500100073482,422110,0.0,36.0,0.0,150010,RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO,physicians,36.0
1500100073482,251605,18.0,0.0,18.0,150010,ASSISTENTE SOCIAL,social_workers,36.0
1500100073482,225124,5.0,0.0,5.0,150010,MEDICO PEDIATRA,physicians,10.0
1500100073482,225270,5.0,0.0,5.0,150010,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,physicians,10.0
1500100073482,225270,5.0,0.0,5.0,150010,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,physicians,10.0
1500100073482,225151,21.0,0.0,21.0,150010,MEDICO ANESTESIOLOGISTA,physicians,42.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,225125,0.0,0.0,5.0,150010,MEDICO CLINICO,physicians,5.0
1500100073482,422110,0.0,36.0,0.0,150010,RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO,physicians,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,225151,5.0,0.0,5.0,150010,MEDICO ANESTESIOLOGISTA,physicians,10.0
1500100073482,225125,5.0,0.0,5.0,150010,MEDICO CLINICO,physicians,10.0
1500100073482,225250,5.0,0.0,5.0,150010,MEDICO GINECOLOGISTA E OBSTETRA,physicians,10.0
1500100073482,225250,5.0,0.0,5.0,150010,MEDICO GINECOLOGISTA E OBSTETRA,physicians,10.0
1500100073482,225250,5.0,0.0,5.0,150010,MEDICO GINECOLOGISTA E OBSTETRA,physicians,10.0
1500100073482,225320,5.0,0.0,5.0,150010,MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,physicians,10.0
1500100073482,223545,0.0,0.0,36.0,150010,ENFERMEIRO OBSTETRICO,nurses,36.0
1500100073482,225125,5.0,0.0,5.0,150010,MEDICO CLINICO,physicians,10.0
1500100073482,225250,5.0,0.0,5.0,150010,MEDICO GINECOLOGISTA E OBSTETRA,physicians,10.0
1500100073482,221205,18.0,0.0,18.0,150010,BIOMEDICO,physicians,36.0
1500100073482,422110,0.0,36.0,0.0,150010,RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO,physicians,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,225151,5.0,0.0,5.0,150010,MEDICO ANESTESIOLOGISTA,physicians,10.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,422110,0.0,36.0,0.0,150010,RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO,physicians,36.0
1500100073482,221205,18.0,0.0,18.0,150010,BIOMEDICO,physicians,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,225270,5.0,0.0,5.0,150010,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,physicians,10.0
1500100073482,223535,0.0,0.0,36.0,150010,ENFERMEIRO NEFROLOGISTA,nurses,36.0
1500100073482,422110,0.0,36.0,0.0,150010,RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO,physicians,36.0
1500100073482,225260,5.0,0.0,5.0,150010,MEDICO NEUROCIRURGIAO,physicians,10.0
1500100073482,225260,5.0,0.0,5.0,150010,MEDICO NEUROCIRURGIAO,physicians,10.0
1500100073482,225260,5.0,0.0,5.0,150010,MEDICO NEUROCIRURGIAO,physicians,10.0
1500100073482,221205,18.0,0.0,18.0,150010,BIOMEDICO,physicians,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,221205,18.0,0.0,18.0,150010,BIOMEDICO,physicians,36.0
1500100073482,221205,18.0,0.0,18.0,150010,BIOMEDICO,physicians,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,225125,10.0,0.0,10.0,150010,MEDICO CLINICO,physicians,20.0
1500100073482,225125,10.0,0.0,10.0,150010,MEDICO CLINICO,physicians,20.0
1500100073482,225250,5.0,0.0,5.0,150010,MEDICO GINECOLOGISTA E OBSTETRA,physicians,10.0
1500100073482,225151,21.0,0.0,21.0,150010,MEDICO ANESTESIOLOGISTA,physicians,42.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,225125,10.0,0.0,10.0,150010,MEDICO CLINICO,physicians,20.0
1500100073482,221205,18.0,0.0,18.0,150010,BIOMEDICO,physicians,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,223505,0.0,0.0,36.0,150010,ENFERMEIRO,nurses,36.0
1500100073482,422110,0.0,36.0,0.0,150010,RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO,physicians,36.0
1500100073482,225125,5.0,0.0,5.0,150010,MEDICO CLINICO,physicians,10.0
1500100073482,225270,5.0,0.0,5.0,150010,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,physicians,10.0
1500100073482,225270,5.0,0.0,5.0,150010,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,physicians,10.0
1500100073482,225270,5.0,0.0,5.0,150010,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,physicians,10.0
1500100073482,225260,5.0,0.0,5.0,150010,MEDICO NEUROCIRURGIAO,physicians,10.0
1500100073482,225250,5.0,0.0,5.0,150010,MEDICO GINECOLOGISTA E OBSTETRA,physicians,10.0
1500100073482,225125,0.0,0.0,10.0,150010,MEDICO CLINICO,physicians,10.0
