codigo_tipo_unidade,descricao_tipo_unidade
69,CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA
70,CENTRO DE ATENCAO PSICOSSOCIAL
71,CENTRO DE APOIO A SAUDE DA FAMILIA
72,UNIDADE DE ATENCAO A SAUDE INDIGENA
1,POSTO DE SAUDE
2,CENTRO DE SAUDE/UNIDADE BASICA
4,POLICLINICA
22,CONSULTORIO ISOLADO
40,UNIDADE MOVEL TERRESTRE
42,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
32,UNIDADE MOVEL FLUVIAL
36,CLINICA/CENTRO DE ESPECIALIDADE
64,CENTRAL DE REGULACAO DE SERVICOS DE SAUDE
43,FARMACIA
39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
61,CENTRO DE PARTO NORMAL - ISOLADO
62,HOSPITAL/DIA - ISOLADO
15,UNIDADE MISTA
20,PRONTO SOCORRO GERAL
21,PRONTO SOCORRO ESPECIALIZADO
5,HOSPITAL GERAL
7,HOSPITAL ESPECIALIZADO
60,COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE
50,UNIDADE DE VIGILANCIA EM SAUDE
67,LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN
68,CENTRAL DE GESTAO EM SAUDE
73,PRONTO ATENDIMENTO
74,POLO ACADEMIA DA SAUDE
84,CENTRAL DE ABASTECIMENTO
85,CENTRO DE IMUNIZACAO
76,CENTRAL DE REGULACAO MEDICA DAS URGENCIAS
79,OFICINA ORTOPEDICA
81,CENTRAL DE REGULACAO DO ACESSO
83,POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE
82,"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL"
77,SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)
75,TELESSAUDE
80,LABORATORIO DE SAUDE PUBLICA
78,UNIDADE DE ATENCAO EM REGIME RESIDENCIAL
