municipality_code,municipality,female_population_2022,source_table,source_year
1500107,Abaetetuba,78891,SIDRA 9514,2022
1500131,Abel Figueiredo,3023,SIDRA 9514,2022
1500206,Acará,28472,SIDRA 9514,2022
1500305,Afuá,18057,SIDRA 9514,2022
1500347,Água Azul do Norte,8384,SIDRA 9514,2022
1500404,Alenquer,33688,SIDRA 9514,2022
1500503,Almeirim,16633,SIDRA 9514,2022
1500602,Altamira,63337,SIDRA 9514,2022
1500701,Anajás,13503,SIDRA 9514,2022
1500800,Ananindeua,251474,SIDRA 9514,2022
1500859,Anapu,15245,SIDRA 9514,2022
1500909,Augusto Corrêa,21776,SIDRA 9514,2022
1500958,Aurora do Pará,11695,SIDRA 9514,2022
1501006,Aveiro,8704,SIDRA 9514,2022
1501105,Bagre,15639,SIDRA 9514,2022
1501204,Baião,25724,SIDRA 9514,2022
1501253,Bannach,1867,SIDRA 9514,2022
1501303,Barcarena,63256,SIDRA 9514,2022
1501402,Belém,692626,SIDRA 9514,2022
1501451,Belterra,8935,SIDRA 9514,2022
1501501,Benevides,32316,SIDRA 9514,2022
1501576,Bom Jesus do Tocantins,8036,SIDRA 9514,2022
1501600,Bonito,6145,SIDRA 9514,2022
1501709,Bragança,61501,SIDRA 9514,2022
1501725,Brasil Novo,12083,SIDRA 9514,2022
1501758,Brejo Grande do Araguaia,3344,SIDRA 9514,2022
1501782,Breu Branco,22612,SIDRA 9514,2022
1501808,Breves,51690,SIDRA 9514,2022
1501907,Bujaru,12030,SIDRA 9514,2022
1501956,Cachoeira do Piriá,9279,SIDRA 9514,2022
1502004,Cachoeira do Arari,11855,SIDRA 9514,2022
1502103,Cametá,65344,SIDRA 9514,2022
1502152,Canaã dos Carajás,37692,SIDRA 9514,2022
1502202,Capanema,36044,SIDRA 9514,2022
1502301,Capitão Poço,27835,SIDRA 9514,2022
1502400,Castanhal,99750,SIDRA 9514,2022
1502509,Chaves,9639,SIDRA 9514,2022
1502608,Colares,6422,SIDRA 9514,2022
1502707,Conceição do Araguaia,22127,SIDRA 9514,2022
1502756,Concórdia do Pará,13331,SIDRA 9514,2022
1502764,Cumaru do Norte,6330,SIDRA 9514,2022
1502772,Curionópolis,9754,SIDRA 9514,2022
1502806,Curralinho,16040,SIDRA 9514,2022
1502855,Curuá,6779,SIDRA 9514,2022
1502905,Curuçá,20517,SIDRA 9514,2022
1502939,Dom Eliseu,29577,SIDRA 9514,2022
1502954,Eldorado do Carajás,13749,SIDRA 9514,2022
1503002,Faro,4245,SIDRA 9514,2022
1503044,Floresta do Araguaia,8400,SIDRA 9514,2022
1503077,Garrafão do Norte,12009,SIDRA 9514,2022
1503093,Goianésia do Pará,12837,SIDRA 9514,2022
1503101,Gurupá,15079,SIDRA 9514,2022
1503200,Igarapé-Açu,18030,SIDRA 9514,2022
1503309,Igarapé-Miri,31557,SIDRA 9514,2022
1503408,Inhangapi,5096,SIDRA 9514,2022
1503457,Ipixuna do Pará,14692,SIDRA 9514,2022
1503507,Irituia,15044,SIDRA 9514,2022
1503606,Itaituba,61026,SIDRA 9514,2022
1503705,Itupiranga,23706,SIDRA 9514,2022
1503754,Jacareacanga,11482,SIDRA 9514,2022
1503804,Jacundá,19203,SIDRA 9514,2022
1503903,Juruti,24727,SIDRA 9514,2022
1504000,Limoeiro do Ajuru,14278,SIDRA 9514,2022
1504059,Mãe do Rio,17466,SIDRA 9514,2022
1504109,Magalhães Barata,3964,SIDRA 9514,2022
1504208,Marabá,133761,SIDRA 9514,2022
1504307,Maracanã,12679,SIDRA 9514,2022
1504406,Marapanim,12926,SIDRA 9514,2022
1504422,Marituba,57093,SIDRA 9514,2022
1504455,Medicilândia,12769,SIDRA 9514,2022
1504505,Melgaço,13313,SIDRA 9514,2022
1504604,Mocajuba,13398,SIDRA 9514,2022
1504703,Moju,40213,SIDRA 9514,2022
1504752,Mojuí dos Campos,11270,SIDRA 9514,2022
1504802,Monte Alegre,29661,SIDRA 9514,2022
1504901,Muaná,22371,SIDRA 9514,2022
1504950,Nova Esperança do Piriá,9962,SIDRA 9514,2022
1504976,Nova Ipixuna,6661,SIDRA 9514,2022
1505007,Nova Timboteua,6303,SIDRA 9514,2022
1505031,Novo Progresso,16151,SIDRA 9514,2022
1505064,Novo Repartimento,29423,SIDRA 9514,2022
1505106,Óbidos,25485,SIDRA 9514,2022
1505205,Oeiras do Pará,16201,SIDRA 9514,2022
1505304,Oriximiná,33838,SIDRA 9514,2022
1505403,Ourém,8808,SIDRA 9514,2022
1505437,Ourilândia do Norte,15925,SIDRA 9514,2022
1505486,Pacajá,19465,SIDRA 9514,2022
1505494,Palestina do Pará,3347,SIDRA 9514,2022
1505502,Paragominas,53089,SIDRA 9514,2022
1505536,Parauapebas,133914,SIDRA 9514,2022
1505551,Pau D'Arco,3376,SIDRA 9514,2022
1505601,Peixe-Boi,4083,SIDRA 9514,2022
1505635,Piçarra,6098,SIDRA 9514,2022
1505650,Placas,8813,SIDRA 9514,2022
1505700,Ponta de Pedras,12142,SIDRA 9514,2022
1505809,Portel,29876,SIDRA 9514,2022
1505908,Porto de Moz,19479,SIDRA 9514,2022
1506005,Prainha,17110,SIDRA 9514,2022
1506104,Primavera,5369,SIDRA 9514,2022
1506112,Quatipuru,5676,SIDRA 9514,2022
1506138,Redenção,43371,SIDRA 9514,2022
1506161,Rio Maria,9063,SIDRA 9514,2022
1506187,Rondon do Pará,25787,SIDRA 9514,2022
1506195,Rurópolis,17398,SIDRA 9514,2022
1506203,Salinópolis,22189,SIDRA 9514,2022
1506302,Salvaterra,12078,SIDRA 9514,2022
1506351,Santa Bárbara do Pará,10602,SIDRA 9514,2022
1506401,Santa Cruz do Arari,3557,SIDRA 9514,2022
1506500,Santa Izabel do Pará,33377,SIDRA 9514,2022
1506559,Santa Luzia do Pará,10130,SIDRA 9514,2022
1506583,Santa Maria das Barreiras,7778,SIDRA 9514,2022
1506609,Santa Maria do Pará,12477,SIDRA 9514,2022
1506708,Santana do Araguaia,15740,SIDRA 9514,2022
1506807,Santarém,168862,SIDRA 9514,2022
1506906,Santarém Novo,2911,SIDRA 9514,2022
1507003,Santo Antônio do Tauá,13701,SIDRA 9514,2022
1507102,São Caetano de Odivelas,8193,SIDRA 9514,2022
1507151,São Domingos do Araguaia,10376,SIDRA 9514,2022
1507201,São Domingos do Capim,14584,SIDRA 9514,2022
1507300,São Félix do Xingu,30588,SIDRA 9514,2022
1507409,São Francisco do Pará,7348,SIDRA 9514,2022
1507458,São Geraldo do Araguaia,12013,SIDRA 9514,2022
1507466,São João da Ponta,2143,SIDRA 9514,2022
1507474,São João de Pirabas,10031,SIDRA 9514,2022
1507508,São João do Araguaia,6374,SIDRA 9514,2022
1507607,São Miguel do Guamá,26713,SIDRA 9514,2022
1507706,São Sebastião da Boa Vista,12314,SIDRA 9514,2022
1507755,Sapucaia,2879,SIDRA 9514,2022
1507805,Senador José Porfírio,10381,SIDRA 9514,2022
1507904,Soure,12264,SIDRA 9514,2022
1507953,Tailândia,35923,SIDRA 9514,2022
1507961,Terra Alta,5103,SIDRA 9514,2022
1507979,Terra Santa,9263,SIDRA 9514,2022
1508001,Tomé-Açu,33173,SIDRA 9514,2022
1508035,Tracuateua,13891,SIDRA 9514,2022
1508050,Trairão,7222,SIDRA 9514,2022
1508084,Tucumã,19793,SIDRA 9514,2022
1508100,Tucuruí,46135,SIDRA 9514,2022
1508126,Ulianópolis,18972,SIDRA 9514,2022
1508159,Uruará,20746,SIDRA 9514,2022
1508209,Vigia,25137,SIDRA 9514,2022
1508308,Viseu,28220,SIDRA 9514,2022
1508357,Vitória do Xingu,7576,SIDRA 9514,2022
1508407,Xinguara,26303,SIDRA 9514,2022
