municipality,year,all_female_records,lesao_corporal,violencia_domestica_lesao,estupro,estupro_vulneravel,violencia_sexual,homicidio_mulher,feminicidio,tentativa_feminicidio,selected_vaw_records
ABAETETUBA,2022,1195,276,168,11,66,77,3,0,0,245
ABEL FIGUEIREDO,2022,50,22,14,1,5,6,1,1,0,21
ACARA,2022,243,84,63,8,21,29,1,0,0,92
AFUA,2022,161,39,25,2,12,14,0,0,0,39
AGUA AZUL DO NORTE,2022,50,15,9,3,7,10,0,0,0,19
ALENQUER,2022,276,35,24,3,15,18,0,0,0,42
ALMEIRIM,2022,214,66,45,4,11,15,1,1,0,61
ALTAMIRA,2022,992,260,190,15,57,72,13,1,0,263
ANAJAS,2022,131,42,16,6,12,18,3,1,0,35
ANANINDEUA,2022,6903,906,643,50,151,201,4,1,0,845
ANAPU,2022,199,57,43,8,20,28,3,1,0,72
AUGUSTO CORREA,2022,225,34,26,0,12,12,0,0,0,38
AURORA DO PARA,2022,101,32,19,1,14,15,2,0,0,34
AVEIRO,2022,30,7,5,1,6,7,0,0,0,12
BAGRE,2022,127,25,19,0,11,11,0,0,0,30
BAIAO,2022,274,71,50,0,19,19,0,0,0,69
BANNACH,2022,3,3,2,0,0,0,0,0,0,2
BARCARENA,2022,1205,221,179,14,65,79,2,1,0,259
BELEM,2022,22588,2787,1875,123,425,548,38,4,0,2427
BELTERRA,2022,80,32,26,1,7,8,1,1,0,35
BENEVIDES,2022,695,120,78,6,33,39,1,1,0,118
BOM JESUS DO TOCANTINS,2022,92,37,26,1,15,16,1,1,0,43
BONITO,2022,52,16,14,1,7,8,0,0,0,22
BRAGANCA,2022,953,169,122,5,43,48,1,0,0,170
BRASIL NOVO,2022,97,39,21,2,11,13,0,0,0,34
BREJO GRANDE DO ARAGUAIA,2022,26,15,13,2,0,2,0,0,0,15
BREU BRANCO,2022,205,56,45,2,21,23,1,0,0,68
BREVES,2022,710,160,114,12,40,52,1,0,0,166
BUJARU,2022,121,27,19,2,18,20,0,0,0,39
CACHOEIRA DO ARARI,2022,159,57,35,1,20,21,0,0,0,56
CACHOEIRA DO PIRIA,2022,45,21,17,2,6,8,1,0,0,25
CAMETA,2022,771,197,121,11,46,57,1,1,0,179
CANAA DOS CARAJAS,2022,507,184,130,7,28,35,3,0,0,165
CAPANEMA,2022,412,80,66,3,14,17,1,0,0,83
CAPITAO POCO,2022,165,56,40,5,18,23,1,0,0,63
