column,dtype,non_missing,missing,missing_fraction,unique_non_missing,entirely_missing,constant_or_empty
municipality_code,object,144,0,0.0,144,False,False
municipality,object,144,0,0.0,144,False,False
women_policy_body_exists_raw,object,144,0,0.0,2,False,False
women_policy_body_exists,int64,144,0,0.0,2,False,False
specialized_women_police_station_raw,object,144,0,0.0,3,False,False
specialized_women_police_station,float64,141,3,0.020833333333333332,2,False,False
programs_actions_for_women_raw,object,144,0,0.0,4,False,False
human_rights_protection_women_raw,object,144,0,0.0,3,False,False
programs_actions_for_women,float64,49,95,0.6597222222222222,2,False,False
human_rights_protection_women,float64,143,1,0.006944444444444444,2,False,False
campaigns_against_violence_women,float64,0,144,1.0,0,True,True
campaigns_indicator_status,object,144,0,0.0,1,False,True
institutional_score_available_4,int64,144,0,0.0,5,False,False
institutional_coverage,int64,144,0,0.0,3,False,False
population_2023,int64,144,0,0.0,144,False,False
police_all_female_records,int64,144,0,0.0,137,False,False
police_violencia_domestica_lesao,int64,144,0,0.0,117,False,False
police_lesao_corporal,int64,144,0,0.0,121,False,False
police_violencia_sexual,int64,144,0,0.0,112,False,False
police_estupro,int64,144,0,0.0,46,False,False
police_estupro_vulneravel,int64,144,0,0.0,106,False,False
police_homicidio_mulher,int64,144,0,0.0,22,False,False
police_feminicidio,int64,144,0,0.0,10,False,False
police_tentativa_feminicidio,int64,144,0,0.0,2,False,False
police_feminicidio_any,int64,144,0,0.0,9,False,False
police_police_years_observed,int64,144,0,0.0,1,False,True
rate_all_female_records_per_100k_population_2022_2025,float64,144,0,0.0,144,False,False
rate_violencia_domestica_lesao_per_100k_population_2022_2025,float64,144,0,0.0,144,False,False
rate_lesao_corporal_per_100k_population_2022_2025,float64,144,0,0.0,144,False,False
rate_violencia_sexual_per_100k_population_2022_2025,float64,144,0,0.0,144,False,False
rate_estupro_per_100k_population_2022_2025,float64,144,0,0.0,143,False,False
rate_estupro_vulneravel_per_100k_population_2022_2025,float64,144,0,0.0,144,False,False
rate_homicidio_mulher_per_100k_population_2022_2025,float64,144,0,0.0,122,False,False
rate_feminicidio_any_per_100k_population_2022_2025,float64,144,0,0.0,75,False,False
institutional_deficit_available_4,int64,144,0,0.0,5,False,False
cnes_active_establishments,int64,144,0,0.0,73,False,False
cnes_ubs,int64,144,0,0.0,42,False,False
cnes_hospitals,int64,144,0,0.0,18,False,False
cnes_caps,int64,144,0,0.0,5,False,False
cnes_emergency_units,int64,144,0,0.0,7,False,False
cnes_obstetric_centers,int64,144,0,0.0,1,False,True
cnes_health_service_deficit,int64,144,0,0.0,4,False,False
cnes_active_establishments_per_100k_population,float64,144,0,0.0,144,False,False
cnes_ubs_per_100k_population,float64,144,0,0.0,144,False,False
cnes_hospitals_per_100k_population,float64,144,0,0.0,134,False,False
cnes_caps_per_100k_population,float64,144,0,0.0,109,False,False
cnes_emergency_units_per_100k_population,float64,144,0,0.0,42,False,False
cnes_obstetric_centers_per_100k_population,float64,144,0,0.0,1,False,True
cnes_physicians,int64,144,0,0.0,78,False,False
cnes_physicians_weekly_hours,float64,144,0,0.0,138,False,False
cnes_nurses,int64,144,0,0.0,72,False,False
cnes_nurses_weekly_hours,float64,144,0,0.0,137,False,False
cnes_psychologists,int64,144,0,0.0,30,False,False
cnes_psychologists_weekly_hours,float64,144,0,0.0,72,False,False
cnes_social_workers,int64,144,0,0.0,29,False,False
cnes_social_workers_weekly_hours,float64,144,0,0.0,80,False,False
cnes_multidisciplinary_staff_deficit,int64,144,0,0.0,3,False,False
cnes_physicians_per_100k_population,float64,144,0,0.0,144,False,False
cnes_nurses_per_100k_population,float64,144,0,0.0,144,False,False
cnes_psychologists_per_100k_population,float64,144,0,0.0,142,False,False
cnes_social_workers_per_100k_population,float64,144,0,0.0,140,False,False
social_cras,int64,144,0,0.0,11,False,False
social_creas,int64,144,0,0.0,4,False,False
social_centro_pop,int64,144,0,0.0,3,False,False
social_centro_dia,float64,0,144,1.0,0,True,True
social_centros_convivencia,float64,0,144,1.0,0,True,True
social_unidades_acolhimento,float64,0,144,1.0,0,True,True
social_cras_professionals,float64,0,144,1.0,0,True,True
social_creas_professionals,float64,0,144,1.0,0,True,True
social_basic_protection_deficit,int64,144,0,0.0,1,False,True
social_specialized_service_deficit,int64,144,0,0.0,2,False,False
social_cras_per_100k_population,float64,144,0,0.0,144,False,False
social_creas_per_100k_population,float64,144,0,0.0,132,False,False
social_centro_pop_per_100k_population,float64,144,0,0.0,5,False,False
social_centro_dia_per_100k_population,float64,0,144,1.0,0,True,True
social_centros_convivencia_per_100k_population,float64,0,144,1.0,0,True,True
social_unidades_acolhimento_per_100k_population,float64,0,144,1.0,0,True,True
social_cras_professionals_per_100k_population,float64,0,144,1.0,0,True,True
social_creas_professionals_per_100k_population,float64,0,144,1.0,0,True,True
justice_tjpa_units,int64,144,0,0.0,12,False,False
justice_tjpa_criminal_units,int64,144,0,0.0,6,False,False
justice_tjpa_juizados,int64,144,0,0.0,5,False,False
justice_tjpa_cejusc,int64,144,0,0.0,2,False,False
justice_tjpa_women_specialized_units,int64,144,0,0.0,2,False,False
justice_tjpa_local_access,int64,144,0,0.0,2,False,False
justice_tjpa_access_deficit,int64,144,0,0.0,2,False,False
justice_components_available,int64,144,0,0.0,1,False,True
justice_access_score_available,int64,144,0,0.0,2,False,False
justice_access_coverage_ratio,float64,144,0,0.0,2,False,False
justice_access_deficit_ratio,float64,144,0,0.0,2,False,False
justice_full_access_available,int64,144,0,0.0,2,False,False
justice_specialized_women_services,int64,144,0,0.0,2,False,False
justice_specialized_women_access,int64,144,0,0.0,2,False,False
