municipality_code,municipality,women_policy_body_exists_raw,women_policy_body_exists,specialized_women_police_station_raw,specialized_women_police_station,programs_actions_for_women_raw,human_rights_protection_women_raw,programs_actions_for_women,human_rights_protection_women,campaigns_against_violence_women,campaigns_indicator_status,institutional_score_available_4,institutional_coverage,population_2023,police_all_female_records,police_violencia_domestica_lesao,police_lesao_corporal,police_violencia_sexual,police_estupro,police_estupro_vulneravel,police_homicidio_mulher,police_feminicidio,police_tentativa_feminicidio,police_feminicidio_any,police_police_years_observed,rate_all_female_records_per_100k_population_2022_2025,rate_violencia_domestica_lesao_per_100k_population_2022_2025,rate_lesao_corporal_per_100k_population_2022_2025,rate_violencia_sexual_per_100k_population_2022_2025,rate_estupro_per_100k_population_2022_2025,rate_estupro_vulneravel_per_100k_population_2022_2025,rate_homicidio_mulher_per_100k_population_2022_2025,rate_feminicidio_any_per_100k_population_2022_2025,institutional_deficit_available_4,cnes_active_establishments,cnes_ubs,cnes_hospitals,cnes_caps,cnes_emergency_units,cnes_obstetric_centers,cnes_health_service_deficit,cnes_active_establishments_per_100k_population,cnes_ubs_per_100k_population,cnes_hospitals_per_100k_population,cnes_caps_per_100k_population,cnes_emergency_units_per_100k_population,cnes_obstetric_centers_per_100k_population,cnes_physicians,cnes_physicians_weekly_hours,cnes_nurses,cnes_nurses_weekly_hours,cnes_psychologists,cnes_psychologists_weekly_hours,cnes_social_workers,cnes_social_workers_weekly_hours,cnes_multidisciplinary_staff_deficit,cnes_physicians_per_100k_population,cnes_nurses_per_100k_population,cnes_psychologists_per_100k_population,cnes_social_workers_per_100k_population,social_cras,social_creas,social_centro_pop,social_centro_dia,social_centros_convivencia,social_unidades_acolhimento,social_cras_professionals,social_creas_professionals,social_basic_protection_deficit,social_specialized_service_deficit,social_cras_per_100k_population,social_creas_per_100k_population,social_centro_pop_per_100k_population,social_centro_dia_per_100k_population,social_centros_convivencia_per_100k_population,social_unidades_acolhimento_per_100k_population,social_cras_professionals_per_100k_population,social_creas_professionals_per_100k_population,justice_tjpa_units,justice_tjpa_criminal_units,justice_tjpa_juizados,justice_tjpa_cejusc,justice_tjpa_women_specialized_units,justice_tjpa_local_access,justice_tjpa_access_deficit,justice_components_available,justice_access_score_available,justice_access_coverage_ratio,justice_access_deficit_ratio,justice_full_access_available,justice_specialized_women_services,justice_specialized_women_access
1500107,Abaetetuba,Não,0,Sim,1.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,2,3,158188,4336,765,1261,436,65,371,6,0,0,0,4,2741.042304093863,483.6017902748628,797.1527549498066,275.62141249652313,41.090348193289,234.5310643032341,3.792955217842061,0.0,1,169,62,8,3,1,0,0,106.8349053025514,39.19387058436797,5.057273623789415,1.8964776089210305,0.6321592029736769,0.0,313,9068.0,226,8737.0,37,1404.0,32,1292.0,0,197.8658305307609,142.867979872051,23.38989051002605,20.22909449515766,8,2,0,,,,,,0,0,5.057273623789415,1.2643184059473538,0.0,,,,,,5,2,1,1,0,1,0,1,1,1.0,0.0,1,,
1500131,Abel Figueiredo,Sim,1,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,3,4,7030,166,51,75,21,6,15,4,1,0,1,4,2361.308677098151,725.4623044096728,1066.8563300142248,298.7197724039829,85.34850640113798,213.3712660028449,56.899004267425326,14.224751066856332,1,8,3,1,0,0,0,2,113.79800853485064,42.67425320056899,14.224751066856332,0.0,0.0,0.0,7,204.0,7,292.0,1,40.0,1,60.0,0,99.5732574679943,99.5732574679943,14.224751066856332,14.224751066856332,1,0,0,,,,,,0,1,14.224751066856332,0.0,0.0,,,,,,0,0,0,0,0,0,1,1,0,0.0,1.0,0,,
1500206,Acará,Não,0,Não,0.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,1,3,59023,894,202,315,154,19,135,3,0,0,1,4,1514.6637751385051,342.2394659708927,533.6902563407485,260.91523643325485,32.19084085864833,228.7243955746065,5.082764346102366,1.6942547820341225,2,40,22,2,1,1,0,0,67.7701912813649,37.27360520475069,3.388509564068245,1.6942547820341225,1.6942547820341225,0.0,35,1179.0,43,1574.0,3,130.0,4,184.0,0,59.29891737119428,72.85295562746725,5.082764346102366,6.777019128136489,3,1,0,,,,,,0,0,5.082764346102366,1.6942547820341225,0.0,,,,,,1,0,0,0,0,1,0,1,1,1.0,0.0,1,,
1500305,Afuá,Sim,1,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,3,4,37765,638,126,185,72,8,64,4,2,0,2,4,1689.3949424069906,333.6422613531047,489.8715742089236,190.6527207732027,21.183635641466967,169.46908513173574,10.591817820733484,5.295908910366742,1,44,34,2,1,0,0,1,116.50999602806831,90.03045147623462,5.295908910366742,2.647954455183371,0.0,0.0,21,866.0,27,1184.0,2,80.0,4,160.0,0,55.60704355885078,71.49477028995102,5.295908910366742,10.591817820733484,1,1,0,,,,,,0,0,2.647954455183371,2.647954455183371,0.0,,,,,,1,0,0,0,0,1,0,1,1,1.0,0.0,1,,
1500347,Água Azul do Norte,Sim,1,Não,0.0,Sim,Não,1.0,0.0,,not_available_in_munic_2023_questionnaire,2,4,18080,238,54,81,44,6,38,2,0,0,0,4,1316.3716814159293,298.6725663716814,448.0088495575222,243.36283185840708,33.1858407079646,210.1769911504425,11.061946902654867,0.0,2,38,12,2,1,0,0,1,210.1769911504425,66.3716814159292,11.061946902654867,5.530973451327434,0.0,0.0,34,1094.0,44,1828.0,6,232.0,3,120.0,0,188.0530973451328,243.36283185840708,33.1858407079646,16.5929203539823,2,1,0,,,,,,0,0,11.061946902654867,5.530973451327434,0.0,,,,,,0,0,0,0,0,0,1,1,0,0.0,1.0,0,,
1500404,Alenquer,Não,0,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,0,3,69377,1071,150,245,107,15,92,1,1,0,1,4,1543.739279588336,216.2099831356213,353.1429724548482,154.22978797007653,21.62099831356213,132.6087896565144,1.4413998875708087,1.4413998875708087,3,29,8,2,1,0,0,1,41.800596739553455,11.53119910056647,2.882799775141617,1.4413998875708087,0.0,0.0,29,1203.0,39,1688.0,6,260.0,8,290.0,0,41.800596739553455,56.21459561526154,8.648399325424853,11.53119910056647,2,1,0,,,,,,0,0,2.882799775141617,1.4413998875708087,0.0,,,,,,1,0,0,0,0,1,0,1,1,1.0,0.0,1,,
1500503,Almeirim,Não,0,Não,0.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,1,3,34280,734,156,254,77,8,69,3,2,0,2,4,2141.1901983663943,455.075845974329,740.9568261376896,224.6207701283548,23.337222870478413,201.2835472578763,8.751458576429405,5.834305717619603,2,48,22,2,1,0,0,1,140.02333722287048,64.17736289381563,5.834305717619603,2.9171528588098017,0.0,0.0,36,1272.0,46,2045.0,5,200.0,8,300.0,0,105.01750291715288,134.18903150525088,14.585764294049008,23.337222870478413,2,1,0,,,,,,0,0,5.834305717619603,2.9171528588098017,0.0,,,,,,1,0,0,0,0,1,0,1,1,1.0,0.0,1,,
1500602,Altamira,Sim,1,Sim,1.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,2,3,126279,3469,820,1135,291,54,237,28,2,0,3,4,2747.091757140934,649.355791540953,898.8034431694897,230.4421162663625,42.762454564892025,187.67966170147056,22.173124589203272,2.375691920271779,1,270,55,12,2,2,0,0,213.8122728244601,43.55435187164929,9.502767681087116,1.5837946135145191,1.5837946135145191,0.0,333,12281.0,333,14713.0,42,1574.0,36,1284.0,0,263.7018031501675,263.7018031501675,33.25968688380491,28.50830304326135,3,1,0,,,,,,0,0,2.375691920271779,0.7918973067572597,0.0,,,,,,8,3,1,1,0,1,0,1,1,1.0,0.0,1,,
1500701,Anajás,Sim,1,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,1,3,28011,620,113,216,86,17,69,4,1,0,1,4,2213.416157937953,403.4129449144979,771.1256292170933,307.0222412623612,60.69044304023419,246.331798222127,14.280104244760986,3.5700260611902466,2,32,19,3,2,0,0,1,114.24083395808788,67.83049516261468,10.71007818357074,7.140052122380493,0.0,0.0,14,530.0,21,892.0,2,75.0,3,130.0,0,49.980364856663456,74.97054728499518,7.140052122380493,10.71007818357074,1,1,0,,,,,,0,0,3.5700260611902466,3.5700260611902466,0.0,,,,,,1,0,0,0,0,1,0,1,1,1.0,0.0,1,,
1500800,Ananindeua,Sim,1,Sim,1.0,Não,Sim,0.0,1.0,,not_available_in_munic_2023_questionnaire,3,4,478778,24779,2178,3529,863,189,674,25,6,0,6,4,5175.46754445693,454.9081202561521,737.0848284591189,180.25055453675816,39.475498038757,140.77505649800116,5.221626724703308,1.2531904139287935,1,455,85,22,2,10,0,0,95.03360638960018,17.753530863991244,4.59503151773891,0.4177301379762645,2.088650689881322,0.0,1279,30324.0,782,31689.0,127,3640.0,126,4246.0,0,267.1384232358212,163.33248394871944,26.5258637614928,26.31699869250467,10,2,1,,,,,,0,0,2.088650689881322,0.4177301379762645,0.2088650689881322,,,,,,19,6,4,1,1,1,0,1,1,1.0,0.0,1,,
