municipality_code,municipality,women_policy_body_exists_raw,women_policy_body_exists,specialized_women_police_station_raw,specialized_women_police_station,programs_actions_for_women_raw,human_rights_protection_women_raw,programs_actions_for_women,human_rights_protection_women,campaigns_against_violence_women,campaigns_indicator_status,institutional_score_available_4,institutional_coverage
1500107,Abaetetuba,Não,0,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1500131,Abel Figueiredo,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1500206,Acará,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1500305,Afuá,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1500347,Água Azul do Norte,Sim,1,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,2,4
1500404,Alenquer,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1500503,Almeirim,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1500602,Altamira,Sim,1,Sim,1,-,Não,,0,,not_available_in_munic_2023_questionnaire,2,3
1500701,Anajás,Sim,1,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,1,3
1500800,Ananindeua,Sim,1,Sim,1,Não,Sim,0,1,,not_available_in_munic_2023_questionnaire,3,4
1500859,Anapu,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1500909,Augusto Corrêa,Sim,1,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,1,3
1500958,Aurora do Pará,Não,0,Não informou,,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,2
1501006,Aveiro,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1501105,Bagre,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1501204,Baião,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1501253,Bannach,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1501303,Barcarena,Sim,1,Sim,1,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,4,4
1501402,Belém,Sim,1,Sim,1,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,4,4
1501451,Belterra,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1501501,Benevides,Não,0,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,1,4
1501576,Bom Jesus do Tocantins,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1501600,Bonito,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1501709,Bragança,Sim,1,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,3,3
1501725,Brasil Novo,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1501758,Brejo Grande do Araguaia,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1501782,Breu Branco,Sim,1,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,1,3
1501808,Breves,Sim,1,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,3,3
1501907,Bujaru,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1501956,Cachoeira do Piriá,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1502004,Cachoeira do Arari,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1502103,Cametá,Sim,1,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,3,3
1502152,Canaã dos Carajás,Sim,1,Sim,1,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,4,4
1502202,Capanema,Sim,1,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,3,3
