municipality_code,municipality,seat_query,seat_latitude,seat_longitude,seat_geocoding_confidence,seat_geocoding_note,seat_display_name
1500107,Abaetetuba,"Abaetetuba, Pará, Brasil",-1.7217787,-48.8788106,high,Municipality and Pará matched,"Abaetetuba, Pará, Região Norte, 68440-000, Brasil"
1500131,Abel Figueiredo,"Abel Figueiredo, Pará, Brasil",-4.953001,-48.3958485,high,Municipality and Pará matched,"Abel Figueiredo, Pará, Região Norte, Brasil"
1500206,Acará,"Acará, Pará, Brasil",-1.961388,-48.1987043,high,Municipality and Pará matched,"Acará, Pará, Região Norte, 68690-000, Brasil"
1500305,Afuá,"Afuá, Pará, Brasil",-0.159333,-50.3917149,high,Municipality and Pará matched,"Afuá, Pará, Região Norte, 68890-000, Brasil"
1500347,Água Azul do Norte,"Água Azul do Norte, Pará, Brasil",-6.8064885,-50.4849667,high,Municipality and Pará matched,"Água Azul do Norte, Pará, Região Norte, Brasil"
1500404,Alenquer,"Alenquer, Pará, Brasil",-1.946229,-54.738355,high,Municipality and Pará matched,"Alenquer, Pará, Região Norte, 68200-000, Brasil"
1500503,Almeirim,"Almeirim, Pará, Brasil",-1.5290377,-52.5788111,high,Municipality and Pará matched,"Almeirim, Pará, Região Norte, 68230-000, Brasil"
1500602,Altamira,"Altamira, Pará, Brasil",-3.204065,-52.209961,high,Municipality and Pará matched,"Altamira, Pará, Região Norte, Brasil"
1500701,Anajás,"Anajás, Pará, Brasil",-0.9878802,-49.9390114,high,Municipality and Pará matched,"Anajás, Pará, Região Norte, Brasil"
1500800,Ananindeua,"Ananindeua, Pará, Brasil",-1.374035,-48.4016623,high,Municipality and Pará matched,"Ananindeua, Pará, Região Norte, Brasil"
1500859,Anapu,"Anapu, Pará, Brasil",-3.4668292,-51.2057035,high,Municipality and Pará matched,"Anapu, Pará, Região Norte, Brasil"
1500909,Augusto Corrêa,"Augusto Corrêa, Pará, Brasil",-1.0229335,-46.6404029,high,Municipality and Pará matched,"Augusto Corrêa, Pará, Região Norte, 68610-000, Brasil"
1500958,Aurora do Pará,"Aurora do Pará, Pará, Brasil",-2.1323199,-47.558436,high,Municipality and Pará matched,"Aurora do Pará, Pará, Região Norte, Brasil"
1501006,Aveiro,"Aveiro, Pará, Brasil",-3.6029015,-55.328079,high,Municipality and Pará matched,"Aveiro, Pará, Região Norte, Brasil"
1501105,Bagre,"Bagre, Pará, Brasil",-1.8994498,-50.2103844,high,Municipality and Pará matched,"Bagre, Pará, Região Norte, 68475-000, Brasil"
1501204,Baião,"Baião, Pará, Brasil",-2.7903479,-49.6702845,high,Municipality and Pará matched,"Baião, Pará, Região Norte, Brasil"
1501253,Bannach,"Bannach, Pará, Brasil",-7.3508505,-50.4064531,high,Municipality and Pará matched,"Bannach, Pará, Região Norte, Brasil"
1501303,Barcarena,"Barcarena, Pará, Brasil",-1.5107945,-48.6190679,high,Municipality and Pará matched,"Barcarena, Pará, Região Norte, Brasil"
1501402,Belém,"Belém, Pará, Brasil",-1.45056,-48.4682453,high,Municipality and Pará matched,"Belém, Pará, Região Norte, Brasil"
1501451,Belterra,"Belterra, Pará, Brasil",-2.636091,-54.937392,high,Municipality and Pará matched,"Belterra, Pará, Região Norte, 68143-000, Brasil"
1501501,Benevides,"Benevides, Pará, Brasil",-1.3555577,-48.252235,high,Municipality and Pará matched,"Benevides, Pará, Região Norte, Brasil"
1501576,Bom Jesus do Tocantins,"Bom Jesus do Tocantins, Pará, Brasil",-5.0471796,-48.5978362,high,Municipality and Pará matched,"Bom Jesus do Tocantins, Pará, Região Norte, Brasil"
1501600,Bonito,"Bonito, Pará, Brasil",-1.3605722,-47.3049907,high,Municipality and Pará matched,"Bonito, Pará, Região Norte, Brasil"
1501709,Bragança,"Bragança, Pará, Brasil",-1.0574255,-46.7635232,high,Municipality and Pará matched,"Bragança, Pará, Região Norte, 68600-000, Brasil"
1501725,Brasil Novo,"Brasil Novo, Pará, Brasil",-3.3055853,-52.539198,high,Municipality and Pará matched,"Brasil Novo, Pará, Região Norte, 68148-000, Brasil"
1501758,Brejo Grande do Araguaia,"Brejo Grande do Araguaia, Pará, Brasil",-5.7011449,-48.4037308,high,Municipality and Pará matched,"Brejo Grande do Araguaia, Pará, Região Norte, Brasil"
1501782,Breu Branco,"Breu Branco, Pará, Brasil",-3.7785073,-49.5684795,high,Municipality and Pará matched,"Breu Branco, Pará, Região Norte, 68488-000, Brasil"
1501808,Breves,"Breves, Pará, Brasil",-1.1571039,-50.4382465,high,Municipality and Pará matched,"Breves, Pará, Região Norte, 68800-000, Brasil"
1501907,Bujaru,"Bujaru, Pará, Brasil",-1.5169239,-48.0410699,high,Municipality and Pará matched,"Bujaru, Pará, Região Norte, 68670-000, Brasil"
1501956,Cachoeira do Piriá,"Cachoeira do Piriá, Pará, Brasil",-1.7599443,-46.5446954,high,Municipality and Pará matched,"Cachoeira do Piriá, Pará, Região Norte, Brasil"
1502004,Cachoeira do Arari,"Cachoeira do Arari, Pará, Brasil",-1.0143572,-48.9621089,high,Municipality and Pará matched,"Cachoeira do Arari, Pará, Região Norte, 68840-000, Brasil"
1502103,Cametá,"Cametá, Pará, Brasil",-2.242949,-49.497885,high,Municipality and Pará matched,"Cametá, Pará, Região Norte, 68400-000, Brasil"
1502152,Canaã dos Carajás,"Canaã dos Carajás, Pará, Brasil",-6.5296837,-49.8516592,high,Municipality and Pará matched,"Canaã dos Carajás, Pará, Região Norte, Brasil"
1502202,Capanema,"Capanema, Pará, Brasil",-1.1933054,-47.1828679,high,Municipality and Pará matched,"Capanema, Pará, Região Norte, Brasil"
1502301,Capitão Poço,"Capitão Poço, Pará, Brasil",-1.7447162,-47.0638495,high,Municipality and Pará matched,"Capitão Poço, Pará, Região Norte, 68650-000, Brasil"
1502400,Castanhal,"Castanhal, Pará, Brasil",-1.2927031,-47.9223903,high,Municipality and Pará matched,"Castanhal, Pará, Região Norte, Brasil"
1502509,Chaves,"Chaves, Pará, Brasil",-0.164154,-49.987006,high,Municipality and Pará matched,"Chaves, Pará, Região Norte, Brasil"
1502608,Colares,"Colares, Pará, Brasil",-0.936423,-48.280254,high,Municipality and Pará matched,"Colares, Pará, Região Norte, 68785-000, Brasil"
1502707,Conceição do Araguaia,"Conceição do Araguaia, Pará, Brasil",-8.2696905,-49.2676864,high,Municipality and Pará matched,"Conceição do Araguaia, Pará, Região Norte, 68540-000, Brasil"
1502756,Concórdia do Pará,"Concórdia do Pará, Pará, Brasil",-1.9924056,-47.9450474,high,Municipality and Pará matched,"Concórdia do Pará, Pará, Região Norte, Brasil"
1502764,Cumaru do Norte,"Cumaru do Norte, Pará, Brasil",-7.8122669,-50.7677675,high,Municipality and Pará matched,"Cumaru do Norte, Pará, Região Norte, Brasil"
1502772,Curionópolis,"Curionópolis, Pará, Brasil",-6.0990443,-49.6059039,high,Municipality and Pará matched,"Curionópolis, Pará, Região Norte, Brasil"
1502806,Curralinho,"Curralinho, Pará, Brasil",-1.8137876,-49.7980165,high,Municipality and Pará matched,"Curralinho, Pará, Região Norte, Brasil"
1502855,Curuá,"Curuá, Pará, Brasil",-1.887754,-55.116842,high,Municipality and Pará matched,"Curuá, Pará, Região Norte, Brasil"
1502905,Curuçá,"Curuçá, Pará, Brasil",-0.7220333,-47.8650027,high,Municipality and Pará matched,"Curuçá, Pará, Região Norte, 68750-000, Brasil"
1502939,Dom Eliseu,"Dom Eliseu, Pará, Brasil",-4.2928111,-47.5559083,high,Municipality and Pará matched,"Dom Eliseu, Pará, Região Norte, 68633-000, Brasil"
1502954,Eldorado do Carajás,"Eldorado do Carajás, Pará, Brasil",-6.1029246,-49.3572487,high,Municipality and Pará matched,"Eldorado do Carajás, Pará, Região Norte, Brasil"
1503002,Faro,"Faro, Pará, Brasil",-2.1737325,-56.7461191,high,Municipality and Pará matched,"Faro, Pará, Região Norte, 68280-000, Brasil"
1503044,Floresta do Araguaia,"Floresta do Araguaia, Pará, Brasil",-7.5597065,-49.7032829,high,Municipality and Pará matched,"Floresta do Araguaia, Pará, Região Norte, Brasil"
1503077,Garrafão do Norte,"Garrafão do Norte, Pará, Brasil",-1.9282256,-47.0513157,high,Municipality and Pará matched,"Garrafão do Norte, Pará, Região Norte, Brasil"
