municipality,all_female_records,violencia_domestica_lesao,lesao_corporal,violencia_sexual,estupro,estupro_vulneravel,homicidio_mulher,feminicidio,tentativa_feminicidio,feminicidio_any,police_years_observed
ABAETETUBA,4336,765,1261,436,65,371,6,0,0,0,4
ABEL FIGUEIREDO,166,51,75,21,6,15,4,1,0,1,4
ACARA,894,202,315,154,19,135,3,0,0,1,4
AFUA,638,126,185,72,8,64,4,2,0,2,4
AGUA AZUL DO NORTE,238,54,81,44,6,38,2,0,0,0,4
ALENQUER,1071,150,245,107,15,92,1,1,0,1,4
ALMEIRIM,734,156,254,77,8,69,3,2,0,2,4
ALTAMIRA,3469,820,1135,291,54,237,28,2,0,3,4
ANAJAS,620,113,216,86,17,69,4,1,0,1,4
ANANINDEUA,24779,2178,3529,863,189,674,25,6,0,6,4
ANAPU,684,161,205,104,18,86,7,3,0,3,4
AUGUSTO CORREA,784,139,186,92,7,85,0,0,0,0,4
AURORA DO PARA,326,57,101,54,8,46,7,1,0,1,4
AVEIRO,129,31,40,35,2,33,1,1,0,1,4
BAGRE,640,84,141,97,7,90,0,0,0,0,4
BAIAO,924,190,292,85,14,71,2,0,0,0,4
BANNACH,35,16,23,5,0,5,0,0,0,0,4
BARCARENA,4044,701,946,359,62,297,10,3,0,3,4
BELEM,84400,6688,11009,2391,536,1855,89,12,2,12,4
BELTERRA,340,73,110,45,6,39,2,2,0,2,4
BENEVIDES,2303,290,438,182,22,160,4,1,0,1,4
BOM JESUS DO TOCANTINS,350,92,118,48,3,45,1,1,0,1,4
BONITO,188,44,60,25,6,19,0,0,0,0,4
BRAGANCA,3413,442,685,217,23,194,3,1,0,1,4
BRASIL NOVO,413,116,171,91,11,80,2,0,0,0,4
BREJO GRANDE DO ARAGUAIA,121,47,64,14,2,12,2,0,0,0,4
BREU BRANCO,811,205,274,98,14,84,3,0,0,0,4
BREVES,2808,451,704,308,61,247,5,2,0,2,4
BUJARU,415,86,133,72,13,59,1,0,0,0,4
CACHOEIRA DO ARARI,597,136,256,83,4,79,1,0,0,0,4
CACHOEIRA DO PIRIA,192,60,78,48,9,39,2,0,0,0,4
CAMETA,2871,513,859,268,47,221,5,3,0,3,4
CANAA DOS CARAJAS,2422,625,840,217,33,184,12,1,0,1,4
CAPANEMA,1682,309,416,110,13,97,8,1,0,1,4
CAPITAO POCO,664,165,242,94,17,77,3,0,0,0,4
CASTANHAL,9066,1159,1563,460,94,366,10,1,0,1,4
CHAVES,227,54,101,65,9,56,0,0,0,0,4
COLARES,216,49,75,32,10,22,0,0,0,0,4
CONCEICAO DO ARAGUAIA,1246,333,468,96,17,79,8,0,0,0,4
CONCORDIA DO PARA,802,161,237,86,15,71,2,0,0,0,4
CUMARU DO NORTE,223,94,135,23,5,18,4,0,0,0,4
CURIONOPOLIS,442,109,164,46,9,37,3,1,0,1,4
CURRALINHO,899,134,264,84,23,61,2,0,0,0,4
CURUA,230,52,89,18,3,15,0,0,0,0,4
CURUCA,937,124,210,73,12,61,4,1,0,1,4
DOM ELISEU,654,102,171,119,12,107,6,1,0,1,4
ELDORADO DOS CARAJAS,513,136,191,88,14,74,4,3,0,3,4
FARO,261,87,135,56,12,44,0,0,0,0,4
FLORESTA DO ARAGUAIA,304,81,118,73,8,65,7,3,0,3,4
GARRAFAO DO NORTE,359,102,133,66,6,60,6,3,0,3,4
GOIANESIA DO PARA,479,99,149,86,8,78,4,0,0,0,4
GURUPA,438,101,174,46,6,40,0,0,0,0,4
IGARAPE-ACU,891,165,266,74,15,59,0,0,0,0,4
IGARAPE-MIRI,1074,239,319,109,21,88,3,0,0,0,4
INHANGAPI,221,40,78,47,6,41,0,0,0,0,4
IPIXUNA DO PARA,723,189,273,78,12,66,3,1,0,1,4
IRITUIA,399,83,118,53,13,40,4,1,0,1,4
ITAITUBA,4279,874,1231,390,78,312,13,2,0,2,4
ITUPIRANGA,889,221,302,87,13,74,3,0,0,0,4
JACAREACANGA,329,88,129,41,7,34,3,0,0,0,4
JACUNDA,847,212,288,99,10,89,7,3,0,3,4
JURUTI,1659,317,479,143,26,117,3,0,0,0,4
LIMOEIRO DO AJURU,397,91,155,58,8,50,0,0,0,0,4
MAE DO RIO,545,97,130,82,9,73,10,1,0,1,4
MAGALHAES BARATA,144,31,48,24,1,23,0,0,0,0,4
MARABA,8314,1533,2154,523,106,417,33,8,0,8,4
MARACANA,554,115,189,75,13,62,3,1,0,1,4
MARAPANIM,826,105,180,74,13,61,3,1,0,1,4
MARITUBA,4431,542,786,194,38,156,9,2,0,2,4
MEDICILANDIA,427,111,162,90,9,81,7,2,0,2,4
MELGACO,497,109,204,41,9,32,2,0,0,0,4
MOCAJUBA,748,152,282,50,8,42,2,0,0,0,4
MOJU,1536,312,432,251,32,219,4,2,0,2,4
MOJUI DOS CAMPOS,191,54,72,43,6,37,2,0,0,0,4
MONTE ALEGRE,994,261,357,121,20,101,0,0,0,0,4
MUANA,1000,242,385,128,27,101,1,0,0,0,4
NOVA ESPERANCA DO PIRIA,274,75,95,60,10,50,1,0,0,0,4
NOVA IPIXUNA,216,49,75,42,7,35,2,0,0,0,4
NOVA TIMBOTEUA,180,50,72,23,3,20,1,0,0,0,4
NOVO PROGRESSO,993,275,379,121,21,100,7,0,2,0,4
NOVO REPARTIMENTO,762,202,265,131,10,121,12,4,0,4,4
OBIDOS,917,161,274,93,19,74,4,1,0,1,4
OEIRAS DO PARA,1240,234,383,126,18,108,3,2,0,2,4
ORIXIMINA,2006,300,474,137,23,114,5,1,0,1,4
OUREM,294,68,110,34,7,27,1,0,0,0,4
OURILANDIA DO NORTE,596,106,156,79,11,68,7,2,0,2,4
PACAJA,565,157,210,115,19,96,8,2,0,2,4
