municipality_code,municipality,protection_network_seat_latitude,protection_network_seat_longitude,protection_network_seat_geocoding_confidence,protection_network_nearest_any_public_km,protection_network_nearest_any_public_service_id,protection_network_nearest_specialized_non_health_km,protection_network_nearest_specialized_non_health_service_id,protection_network_nearest_specialized_police_km,protection_network_nearest_specialized_police_service_id,protection_network_nearest_justice_km,protection_network_nearest_justice_service_id,protection_network_nearest_shelter_km,protection_network_nearest_shelter_service_id,protection_network_nearest_reference_center_km,protection_network_nearest_reference_center_service_id,protection_network_nearest_health_km,protection_network_nearest_health_service_id
1500107,Abaetetuba,-1.7217787,-48.8788106,high,0.8257845042568237,L180-PA-001,69.787271805653,L180-PA-007,,,654.0082449332458,L180-PA-091,,,69.787271805653,L180-PA-007,0.8257845042568237,L180-PA-001
1500131,Abel Figueiredo,-4.953001,-48.3958485,high,363.2801319808525,L180-PA-001,400.95725284833577,L180-PA-007,,,756.1427376060129,L180-PA-091,,,400.95725284833577,L180-PA-007,363.2801319808525,L180-PA-001
1500206,Acará,-1.961388,-48.1987043,high,62.45730038287562,L180-PA-031,71.05569847288142,L180-PA-007,,,726.6697569811419,L180-PA-091,,,71.05569847288142,L180-PA-007,62.45730038287562,L180-PA-031
1500305,Afuá,-0.159333,-50.3917149,high,168.71487614218924,L180-PA-046,168.71487614218924,L180-PA-046,,,543.2946042879017,L180-PA-091,,,168.71487614218924,L180-PA-046,241.3317251975209,L180-PA-001
1500347,Água Azul do Norte,-6.8064885,-50.4849667,high,445.6657418671519,L180-PA-004,570.7123418259162,L180-PA-046,,,676.6342997300751,L180-PA-091,,,570.7123418259162,L180-PA-046,445.6657418671519,L180-PA-004
1500404,Alenquer,-1.946229,-54.738355,high,53.23471608516689,L180-PA-091,53.23471608516689,L180-PA-091,,,53.23471608516689,L180-PA-091,,,474.06305688439414,L180-PA-046,240.13470992469982,L180-PA-087
1500503,Almeirim,-1.5290377,-52.5788111,high,45.003344215635686,L180-PA-083,233.6665581067584,L180-PA-046,,,258.16808335430875,L180-PA-091,,,233.6665581067584,L180-PA-046,45.003344215635686,L180-PA-083
1500602,Altamira,-3.204065,-52.209961,high,2.221413089399265,L180-PA-004,256.5434721869409,L180-PA-046,,,292.1528393032527,L180-PA-091,,,256.5434721869409,L180-PA-046,2.221413089399265,L180-PA-004
1500701,Anajás,-0.9878802,-49.9390114,high,97.2511253340384,L180-PA-046,97.2511253340384,L180-PA-046,,,555.1005324050133,L180-PA-091,,,97.2511253340384,L180-PA-046,142.7449929705335,L180-PA-001
1500800,Ananindeua,-1.374035,-48.4016623,high,4.202042018673416,L180-PA-007,4.202042018673416,L180-PA-007,,,712.0603329823231,L180-PA-091,,,4.202042018673416,L180-PA-007,8.411452633749404,L180-PA-034
