municipality_code,social_cras,social_creas,social_centro_pop,social_centro_dia,social_centros_convivencia,social_unidades_acolhimento,social_cras_professionals,social_creas_professionals,social_basic_protection_deficit,social_specialized_service_deficit
150010,8,2,0,,,,,,0,0
150013,1,0,0,,,,,,0,1
150020,3,1,0,,,,,,0,0
150030,1,1,0,,,,,,0,0
150034,2,1,0,,,,,,0,0
150040,2,1,0,,,,,,0,0
150050,2,1,0,,,,,,0,0
150060,3,1,0,,,,,,0,0
150070,1,1,0,,,,,,0,0
150080,10,2,1,,,,,,0,0
150085,1,1,0,,,,,,0,0
150090,2,1,0,,,,,,0,0
150095,1,1,0,,,,,,0,0
150100,1,1,0,,,,,,0,0
150110,1,1,0,,,,,,0,0
150120,1,1,0,,,,,,0,0
150125,1,0,0,,,,,,0,1
150130,6,1,0,,,,,,0,0
150140,12,5,2,,,,,,0,0
150145,1,1,0,,,,,,0,0
150150,2,1,0,,,,,,0,0
150157,3,1,0,,,,,,0,0
150160,1,1,0,,,,,,0,0
150170,4,1,1,,,,,,0,0
150172,1,1,0,,,,,,0,0
150175,1,1,0,,,,,,0,0
150178,3,1,0,,,,,,0,0
150180,5,1,0,,,,,,0,0
150190,1,1,0,,,,,,0,0
150195,1,1,0,,,,,,0,0
150200,1,1,0,,,,,,0,0
150210,8,1,0,,,,,,0,0
150215,3,1,0,,,,,,0,0
150220,2,1,0,,,,,,0,0
150230,1,1,0,,,,,,0,0
150240,7,1,0,,,,,,0,0
150250,1,1,0,,,,,,0,0
150260,1,0,0,,,,,,0,1
150270,2,1,0,,,,,,0,0
150275,1,1,0,,,,,,0,0
150276,1,1,0,,,,,,0,0
150277,2,1,0,,,,,,0,0
150280,1,1,0,,,,,,0,0
150285,1,1,0,,,,,,0,0
150290,1,1,0,,,,,,0,0
150293,4,1,0,,,,,,0,0
150295,2,1,0,,,,,,0,0
150300,1,1,0,,,,,,0,0
150304,1,1,0,,,,,,0,0
150307,1,1,0,,,,,,0,0
150309,1,1,0,,,,,,0,0
150310,1,1,0,,,,,,0,0
150320,1,1,0,,,,,,0,0
150330,3,1,0,,,,,,0,0
150340,1,0,0,,,,,,0,1
150345,3,1,0,,,,,,0,0
150350,2,1,0,,,,,,0,0
150360,4,1,0,,,,,,0,0
150370,5,1,0,,,,,,0,0
150375,1,1,0,,,,,,0,0
150380,1,1,0,,,,,,0,0
150390,1,1,0,,,,,,0,0
150400,1,1,0,,,,,,0,0
150405,1,1,0,,,,,,0,0
150410,1,1,0,,,,,,0,0
150420,6,2,0,,,,,,0,0
150430,2,1,0,,,,,,0,0
150440,1,1,0,,,,,,0,0
150442,4,1,0,,,,,,0,0
150445,1,1,0,,,,,,0,0
150450,1,1,0,,,,,,0,0
150460,1,1,0,,,,,,0,0
150470,5,1,0,,,,,,0,0
150475,1,1,0,,,,,,0,0
150480,2,1,0,,,,,,0,0
150490,1,1,0,,,,,,0,0
150495,1,1,0,,,,,,0,0
150497,1,1,0,,,,,,0,0
150500,1,1,0,,,,,,0,0
150503,1,1,0,,,,,,0,0
150506,3,1,0,,,,,,0,0
150510,2,1,0,,,,,,0,0
150520,1,1,0,,,,,,0,0
150530,3,1,0,,,,,,0,0
150540,2,1,0,,,,,,0,0
150543,1,1,0,,,,,,0,0
150548,1,1,0,,,,,,0,0
150549,1,0,0,,,,,,0,1
150550,4,1,0,,,,,,0,0
150553,6,1,0,,,,,,0,0
150555,1,0,0,,,,,,0,1
150560,1,1,0,,,,,,0,0
150563,1,0,0,,,,,,0,1
150565,1,1,0,,,,,,0,0
150570,1,1,0,,,,,,0,0
150580,3,1,0,,,,,,0,0
150590,3,1,0,,,,,,0,0
150600,2,1,0,,,,,,0,0
150610,1,1,0,,,,,,0,0
150611,1,1,0,,,,,,0,0
150613,2,1,0,,,,,,0,0
150616,1,1,0,,,,,,0,0
150618,2,1,0,,,,,,0,0
150619,1,1,0,,,,,,0,0
150620,1,1,0,,,,,,0,0
150630,1,1,0,,,,,,0,0
150635,3,1,0,,,,,,0,0
150640,1,0,0,,,,,,0,1
150650,2,1,0,,,,,,0,0
150655,1,1,0,,,,,,0,0
150658,1,0,0,,,,,,0,1
150660,1,1,0,,,,,,0,0
150670,1,1,0,,,,,,0,0
150680,9,1,1,,,,,,0,0
150690,1,1,0,,,,,,0,0
150700,1,1,0,,,,,,0,0
150710,1,1,0,,,,,,0,0
150715,1,1,0,,,,,,0,0
150720,1,1,0,,,,,,0,0
150730,2,1,0,,,,,,0,0
150740,2,1,0,,,,,,0,0
150745,1,1,0,,,,,,0,0
150746,1,1,0,,,,,,0,0
150747,1,1,0,,,,,,0,0
150750,1,1,0,,,,,,0,0
150760,2,1,0,,,,,,0,0
150770,2,1,0,,,,,,0,0
150775,1,0,0,,,,,,0,1
150780,1,0,0,,,,,,0,1
150790,1,1,0,,,,,,0,0
150795,1,1,0,,,,,,0,0
150796,1,0,0,,,,,,0,1
150797,1,1,0,,,,,,0,0
150800,1,1,0,,,,,,0,0
150803,2,1,0,,,,,,0,0
150805,1,0,0,,,,,,0,1
150808,1,1,0,,,,,,0,0
150810,3,1,0,,,,,,0,0
150812,1,1,0,,,,,,0,0
150815,1,1,0,,,,,,0,0
150820,2,1,0,,,,,,0,0
150830,4,1,0,,,,,,0,0
150835,1,1,0,,,,,,0,0
150840,1,1,0,,,,,,0,0
