municipality_code,municipality,port_count,port_presence,distance_to_port_km,decea_airport_count,decea_airport_presence,distance_to_decea_airport_km,passenger_crossing_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_km,navigated_waterway_presence,distance_to_navigated_waterway_km
1500107,Abaetetuba,4,1,4.469781,1,1,9.274119,0.0,0,275.026926,8.806756,1,17.472504
1500131,Abel Figueiredo,0,0,62.051705,0,0,46.692452,0.0,0,38.351425,0.0,0,94.216675
1500206,Acará,2,1,38.379129,0,0,30.318113,0.0,0,211.155962,213.629027,1,0.485257
1500305,Afuá,5,1,39.164658,0,0,48.572596,0.0,0,211.744816,187.250337,1,15.848061
1500347,Água Azul do Norte,0,0,131.615534,0,0,39.622969,0.0,0,131.703917,0.0,0,200.413123
1500404,Alenquer,3,1,175.639482,4,1,50.656404,0.0,0,296.878665,49.045813,1,166.732695
1500503,Almeirim,7,1,214.93159,11,1,22.424287,0.147911,1,214.833866,159.836091,1,214.969528
1500602,Altamira,2,1,238.352136,11,1,67.795107,0.0,0,292.68496,0.0,0,292.046345
1500701,Anajás,1,1,22.587437,0,0,92.026052,0.0,0,282.89011,106.705824,1,13.829472
1500800,Ananindeua,3,1,2.918027,0,0,9.494287,0.0,0,239.612012,4.158262,1,11.127739
1500859,Anapu,0,0,102.742099,1,1,59.109141,0.30917,1,98.816482,20.733197,1,91.978252
1500909,Augusto Corrêa,3,1,16.578783,0,0,68.460144,0.0,0,42.220405,0.0,0,124.630101
1500958,Aurora do Pará,1,1,27.098041,2,1,9.907159,0.0,0,141.843151,0.0,0,48.750067
1501006,Aveiro,2,1,52.332369,0,0,47.064962,0.0,0,56.823958,109.657814,1,46.980071
1501105,Bagre,0,0,73.262336,0,0,45.489848,0.0,0,183.056534,13.096157,1,59.007834
1501204,Baião,0,0,69.517586,0,0,44.310115,0.0,0,216.643338,86.928448,1,10.679704
1501253,Bannach,0,0,142.899566,2,1,12.896495,0.0,0,142.861505,0.0,0,288.065577
1501303,Barcarena,14,1,5.827321,0,0,19.101059,0.0,0,260.634201,117.022293,1,4.342157
1501402,Belém,61,1,2.434369,2,1,8.047367,0.0,0,254.098217,116.343105,1,0.804793
1501451,Belterra,0,0,58.295271,1,1,63.635951,0.0,0,162.23326,27.012484,1,28.532213
1501501,Benevides,9,1,9.741546,1,1,6.282028,0.0,0,225.807568,3.569109,1,11.460726
1501576,Bom Jesus do Tocantins,0,0,36.58438,0,0,26.994764,0.0,0,48.57473,0.0,0,55.128585
1501600,Bonito,1,1,3.282105,0,0,22.099889,0.0,0,132.676516,0.0,0,32.413602
1501709,Bragança,1,1,13.909827,0,0,42.343878,0.0,0,70.213632,0.0,0,94.119735
1501725,Brasil Novo,0,0,45.05213,0,0,22.689251,0.0,0,102.962554,0.0,0,86.183883
1501758,Brejo Grande do Araguaia,0,0,43.235893,0,0,32.105041,0.0,0,38.444642,0.0,0,85.439287
1501782,Breu Branco,0,0,21.364172,0,0,26.456891,0.0,0,209.403518,13.397608,1,21.323005
1501808,Breves,11,1,45.606241,1,1,53.114871,0.0,0,236.392697,237.578378,1,36.533398
1501907,Bujaru,1,1,14.875323,0,0,44.688019,0.0,0,191.673703,23.58691,1,9.623472
1501956,Cachoeira do Piriá,1,1,25.762499,0,0,52.450758,0.154342,1,25.780051,0.0,0,126.181931
1502004,Cachoeira do Arari,0,0,21.888952,1,1,20.747602,0.0,0,317.067959,32.85296,1,23.035476
1502103,Cametá,5,1,3.915779,1,1,26.139757,0.0,0,260.131507,62.010216,1,10.910093
1502152,Canaã dos Carajás,0,0,133.07938,1,1,35.291203,0.0,0,110.086107,0.0,0,156.459625
1502202,Capanema,0,0,27.530275,1,1,9.329743,0.0,0,110.563042,0.0,0,63.13717
1502301,Capitão Poço,0,0,54.709215,1,1,26.496153,0.0,0,93.860835,0.0,0,54.769269
1502400,Castanhal,0,0,24.724743,1,1,1.931531,0.0,0,199.460709,0.0,0,24.332928
1502509,Chaves,2,1,23.478286,2,1,34.938277,0.0,0,312.906055,67.674417,1,21.20129
1502608,Colares,1,1,6.598911,1,1,9.417342,0.0,0,235.418249,5.081184,1,16.477118
1502707,Conceição do Araguaia,1,1,32.37286,3,1,30.668054,0.0,0,66.963538,0.0,0,319.942096
1502756,Concórdia do Pará,0,0,24.991472,0,0,30.945591,0.0,0,176.178083,0.0,0,21.916064
1502764,Cumaru do Norte,0,0,174.535977,14,1,8.935407,0.0,0,169.915515,0.0,0,425.487094
1502772,Curionópolis,0,0,117.499678,1,1,16.246009,0.0,0,93.267611,0.0,0,114.399094
1502806,Curralinho,1,1,38.32045,0,0,45.200925,0.0,0,252.314704,22.399133,1,24.020606
1502855,Curuá,1,1,12.485796,0,0,43.111601,0.0,0,292.448665,8.33649,1,41.904408
1502905,Curuçá,1,1,5.694257,0,0,53.336535,0.0,0,199.245679,0.0,0,44.777926
1502939,Dom Eliseu,0,0,132.43096,2,1,32.072133,0.0,0,122.581565,0.0,0,189.909138
