municipality_code,municipality,road_federal_km,road_state_km,road_other_km,road_paved_km,road_unpaved_km,road_total_km,road_structured_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_structured_road_km
1500107,Abaetetuba,0.0,107.382144,94.423141,134.321961,52.780641,201.805285,1,0,1,1617.102026,124.794405,0.2632
1500131,Abel Figueiredo,0.0,0.0,67.81744,20.283743,7.649702,67.81744,1,0,0,617.024459,109.910457,1.011025
1500206,Acará,0.0,125.61705,442.602271,269.778479,167.604835,568.219321,1,0,1,4365.188509,130.170626,2.529937
1500305,Afuá,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8352.26382,0.0,149.083314
1500347,Água Azul do Norte,0.0,109.955351,1022.979526,842.485274,44.835091,1132.934877,1,0,1,7127.720544,158.947713,2.39827
1500404,Alenquer,0.0,127.142313,472.521131,337.891755,87.21433,599.663444,1,0,1,23648.220736,25.357656,96.650914
1500503,Almeirim,0.0,0.0,979.990027,659.124069,58.219814,979.990027,1,0,0,72964.087155,13.431128,173.091887
1500602,Altamira,167.673487,9.601719,1577.092388,867.271992,457.519607,1754.367593,1,1,1,159549.5414,10.995755,34.888853
1500701,Anajás,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6931.00452,0.0,92.989148
1500800,Ananindeua,8.306527,0.0,3.342762,11.649289,0.0,11.649289,1,1,0,191.511453,60.828158,3.091189
1500859,Anapu,77.125637,24.612865,255.643273,169.684363,80.756728,357.381775,1,1,1,11908.505931,30.010631,35.77942
1500909,Augusto Corrêa,29.14432,35.850008,201.223632,2.436669,221.762134,266.21796,1,1,1,1109.036181,240.044432,2.359184
1500958,Aurora do Pará,27.117091,23.590136,571.436499,42.318803,409.43005,622.143727,1,1,1,1822.768036,341.318102,1.608686
1501006,Aveiro,0.0,0.0,309.133852,165.26112,61.704315,309.133852,1,0,0,17085.801553,18.093026,22.562664
1501105,Bagre,0.0,12.521661,26.796092,27.167337,0.0,39.317753,1,0,1,4407.150014,8.921356,24.879919
1501204,Baião,92.119215,76.882829,314.373613,375.491165,5.246335,483.375657,1,1,1,3770.642913,128.194493,5.691249
1501253,Bannach,0.0,0.0,586.830442,451.754625,13.616046,586.830442,1,0,0,2961.70836,198.139172,3.618831
1501303,Barcarena,0.0,177.854662,84.63711,139.664522,93.852825,262.491772,1,0,1,1316.120034,199.443641,0.363329
1501402,Belém,10.660842,13.284179,60.913235,73.65211,0.0,84.858257,1,1,1,1064.446804,79.720524,2.962058
1501451,Belterra,108.809421,10.901476,526.535859,341.238963,115.371652,646.246756,1,1,1,4399.09532,146.904468,0.643873
1501501,Benevides,11.677636,12.249783,42.373457,45.972853,3.304408,66.300876,1,1,1,188.768709,351.228106,0.012156
