variable,mode,direction,unit,n,missing,unique_values,zero_count,zero_share,mean,std,min,p25,median,p75,max,skewness
road_federal_km,road,context,km,144,0,65,80,0.5555555555555556,30.281170555555555,61.14525837043304,0.0,0.0,0.0,34.32010975,495.423506,4.120103491107958
road_state_km,road,context,km,144,0,95,50,0.3472222222222222,36.223580381944444,44.25827663889471,0.0,0.0,20.133164999999998,56.413532,177.854662,1.3419063643123064
road_other_km,road,context,km,144,0,137,8,0.05555555555555555,422.2618281597222,518.4258010101678,0.0,90.8076,263.3610695,575.08638475,3420.260089,2.852133587560417
road_paved_km,road,context,km,144,0,126,19,0.13194444444444445,182.2454504236111,255.2262253072822,0.0,18.77165875,56.472984,268.9956335,1391.427546,2.173876856815767
road_unpaved_km,road,context,km,144,0,124,21,0.14583333333333334,180.496728125,257.60023792599253,0.0,14.515461,93.47891949999999,252.02253525,2097.558457,3.6482702616334657
road_total_km,road,context,km,144,0,137,8,0.05555555555555555,488.7665791319444,557.0382189820986,0.0,134.558875,299.3683025,665.35772975,3631.646505,2.6339721659882076
road_mapped_presence,road,access_positive,binary,144,0,2,8,0.05555555555555555,0.9444444444444444,0.22986094238920374,0.0,1.0,1.0,1.0,1.0,-3.921538132293688
road_federal_presence,road,access_positive,binary,144,0,2,80,0.5555555555555556,0.4444444444444444,0.49863839467117715,0.0,0.0,0.0,1.0,1.0,0.22596746969781875
road_state_presence,road,access_positive,binary,144,0,2,50,0.3472222222222222,0.6527777777777778,0.47774886524614396,0.0,0.0,1.0,1.0,1.0,-0.6485816659552567
municipality_area_km2,territorial_context,context,km2,144,0,144,0,0.0,8664.95000082639,19527.58571247131,103.72397,997.27148675,3029.153257,7994.0732262500005,159549.5414,5.106268518798869
road_density_km_per_1000_km2,road,access_positive,km_per_1000_km2,144,0,137,8,0.05555555555555555,163.41209585416667,134.23569746457667,0.0,57.08204125,136.954256,245.459446,598.771951,0.8752008562669695
distance_to_mapped_road_km,road,barrier_positive,km,144,0,144,0,0.0,15.330834736111111,31.071252701930195,0.011616,0.9452097500000001,2.2976305,7.68752075,173.091887,2.9079621651268877
port_count,water,access_positive,count,144,0,14,76,0.5277777777777778,2.0625,6.314838502660643,0.0,0.0,0.0,2.0,61.0,6.846434765613551
port_presence,water,access_positive,binary,144,0,2,76,0.5277777777777778,0.4722222222222222,0.5009703094707818,0.0,0.0,0.0,1.0,1.0,0.11245781856519366
distance_to_port_km,water,barrier_positive,km,144,0,144,0,0.0,56.697098625,52.35825211253581,2.434369,18.618702,37.5583395,76.68164725,238.709633,1.5263065645339358
decea_airport_count,air,access_positive,count,144,0,16,72,0.5,2.1597222222222223,4.925548060726207,0.0,0.0,0.5,2.0,41.0,4.818114500784691
decea_airport_presence,air,access_positive,binary,144,0,2,72,0.5,0.5,0.5017452060042545,0.0,0.0,0.5,1.0,1.0,0.0
distance_to_decea_airport_km,air,barrier_positive,km,144,0,144,0,0.0,34.08332933333333,22.68819522488171,1.915844,18.06865475,30.574357,45.224470999999994,156.796905,1.5843153082040018
passenger_crossing_km,water,context,km,144,0,15,130,0.9027777777777778,0.13425896527777778,0.7234545160358095,0.0,0.0,0.0,0.0,7.415189,8.085843904387337
passenger_crossing_presence,water,access_positive,binary,144,0,2,130,0.9027777777777778,0.09722222222222222,0.29729419500528154,0.0,0.0,0.0,0.0,1.0,2.747787956089057
distance_to_passenger_crossing_km,water,barrier_positive,km,144,0,144,0,0.0,173.8103125486111,94.5776581966134,11.977509,105.03791125000001,169.1803735,230.60552975000002,531.634669,0.6113290149629724
navigated_waterway_km,water,context,km,144,0,63,82,0.5694444444444444,26.782087243055557,51.87655265823082,0.0,0.0,0.0,26.1432175,246.4649,2.520493053468503
navigated_waterway_presence,water,access_positive,binary,144,0,2,82,0.5694444444444444,0.4305555555555556,0.49688227669338025,0.0,0.0,0.0,1.0,1.0,0.2834576257374718
distance_to_navigated_waterway_km,water,barrier_positive,km,144,0,144,0,0.0,95.06282039583334,100.58631944688429,0.485257,25.970881,58.652055000000004,114.48914825,460.479047,1.7964239123156684
