,road_federal_km,road_state_km,road_other_km,road_paved_km,road_unpaved_km,road_total_km,road_mapped_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_mapped_road_km,port_count,port_presence,distance_to_port_km,decea_airport_count,decea_airport_presence,distance_to_decea_airport_km,passenger_crossing_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_km,navigated_waterway_presence,distance_to_navigated_waterway_km
road_federal_km,1.0,-0.1236365494593743,0.3826753969170493,0.32356702041085417,0.4244770097283048,0.4189210236547212,0.20511837199903526,0.945548974826323,-0.040092529147197346,0.21304677956804252,0.03716186813964146,-0.09003574797060303,-0.0479683760549787,-0.06599062531818432,0.2288732379144836,0.22578100022366773,0.19895086576417664,-0.05435170937221084,0.2716003604215892,0.26545699604810924,-0.2225439791504654,-0.15906065905040417,-0.16197862548033565,0.22793058235388514
road_state_km,-0.1236365494593743,1.0,0.24666421500375535,0.2722615004856104,0.2206381598102278,0.3179448023049554,0.28015261878041864,-0.09445370598538583,0.8424424113034316,-0.046229213577856296,0.35170756212431187,-0.2720192701777987,0.003420081836612847,-0.009059535073306601,-0.15442926379476177,0.08280285025187165,0.012800297412733423,-0.20502704464885937,-0.0405855078070957,-0.04176606901735909,0.08886174958617557,-0.030418013511214446,-0.017406437554471816,-0.03762346450736589
road_other_km,0.3826753969170493,0.24666421500375535,1.0,0.7093125516620212,0.7342146408949842,0.9876596805183738,0.3967890805147543,0.2918502063420549,0.06843226936600114,0.545106694492763,0.12200837694651456,-0.03259659415387111,-0.15857488934449276,-0.19209935201588088,0.5485190876415468,0.48509967350030386,0.37124175965074363,-0.05556694379497758,0.21894142160594945,0.21148074601558006,-0.2728025443903445,-0.23434448993643534,-0.2832651779258904,0.5378578711195809
road_paved_km,0.32356702041085417,0.2722615004856104,0.7093125516620212,1.0,0.2363610911241759,0.7350254032743992,0.36508347370964617,0.22686188353135872,0.11944462341440268,0.4914240662379065,-0.054041251510835095,0.005480117067990017,0.012028059721650155,-0.03283231007368407,0.4200336718639367,0.4763485016518604,0.3769884433899686,-0.12377339298495514,0.04728904345537435,0.046292941360142364,0.04839965360561814,0.029714227491767567,0.0,0.30565534007850925
road_unpaved_km,0.4244770097283048,0.2206381598102278,0.7342146408949842,0.2363610911241759,1.0,0.7366339918381765,0.3593869354510165,0.36837824275044917,0.14163407401393802,0.2378934971635566,0.3255657363239112,-0.2266873332051914,-0.23954890981243898,-0.2258969017152494,0.3274985316021944,0.2801432036173796,0.18338326148186637,-0.0882928184004097,0.21369105392433232,0.19993056734619508,-0.3851837096508049,-0.433438235988761,-0.4622691984113364,0.5158136086956417
road_total_km,0.4189210236547212,0.3179448023049554,0.9876596805183738,0.7350254032743992,0.7366339918381765,1.0,0.3967890805147543,0.31774014400143075,0.11721219470894555,0.561859173461115,0.10879981348833097,-0.035868311495579015,-0.12912440708282583,-0.16465658744218362,0.5398936510134078,0.49502151918184345,0.37692232663009795,-0.0673073447226542,0.21248288033076235,0.2047133621430815,-0.23129514268540902,-0.2109090394278128,-0.2609953723950878,0.5269213319466237
road_mapped_presence,0.20511837199903526,0.28015261878041864,0.3967890805147543,0.36508347370964617,0.3593869354510165,0.3967890805147543,1.0,0.2169304578186562,0.33254809470829577,-0.10939951950928938,0.3967890805147543,-0.36612372529108844,-0.1044646901489178,-0.13495043168856574,0.02625588468222945,0.1308373379257248,0.12126781251816648,-0.3048599943658864,0.07945389708334666,0.07959171834405435,-0.22609234031919803,-0.2895588715343144,-0.21769714943712606,0.1976484652467828
road_federal_presence,0.945548974826323,-0.09445370598538583,0.2918502063420549,0.22686188353135872,0.36837824275044917,0.31774014400143075,0.2169304578186562,1.0,0.006523280730534422,0.04606002717332175,0.15601209186948556,-0.17549878966769308,-0.07012809039588211,-0.0902031590750609,0.10018896421642248,0.11647277269815072,0.1118033988749895,-0.10758546493038657,0.2279341648732886,0.22538123989521242,-0.2585413204108352,-0.1727607827822839,-0.15680223027043103,0.1280939441827415
road_state_presence,-0.040092529147197346,0.8424424113034316,0.06843226936600114,0.11944462341440268,0.14163407401393802,0.11721219470894555,0.33254809470829577,0.006523280730534422,1.0,-0.2954620901019765,0.4916595352911159,-0.40003180845160713,-0.03459058170464866,-0.04058072616742593,-0.30037476143383834,-0.007162000511851899,-0.05834599659915782,-0.2459844716882251,-0.00648509437369738,-0.006838256275499512,0.061408391648273025,-0.10473021706640874,-0.043369474610463976,-0.11299144063282238
municipality_area_km2,0.21304677956804252,-0.046229213577856296,0.545106694492763,0.4914240662379065,0.2378934971635566,0.561859173461115,-0.10939951950928938,0.04606002717332175,-0.2954620901019765,1.0,-0.6946691932670784,0.6399123864641106,0.24070136646214949,0.2091497587775872,0.6940479061168716,0.5938789800112464,0.49149463262029636,0.2654448999276586,0.14486708339425014,0.14153916548044343,0.1054457037215658,0.33322486927470096,0.22807754423475435,0.4158226830640624
