municipality_code,municipality,road_federal_km,road_state_km,road_other_km,road_paved_km,road_unpaved_km,road_total_km,road_mapped_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_mapped_road_km,port_count,port_presence,distance_to_port_km,decea_airport_count,decea_airport_presence,distance_to_decea_airport_km,passenger_crossing_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_km,navigated_waterway_presence,distance_to_navigated_waterway_km
1500107,Abaetetuba,0.0,107.382144,94.423141,134.321961,52.780641,201.805285,1,0,1,1617.102026,124.794405,0.2632,4,1,4.469781,1,1,9.274119,0.0,0,275.026926,8.806756,1,17.472504
1500131,Abel Figueiredo,0.0,0.0,67.81744,20.283743,7.649702,67.81744,1,0,0,617.024459,109.910457,1.011025,0,0,62.051705,0,0,46.692452,0.0,0,38.351425,0.0,0,94.216675
1500206,Acará,0.0,125.61705,442.602271,269.778479,167.604835,568.219321,1,0,1,4365.188509,130.170626,2.529937,2,1,38.379129,0,0,30.318113,0.0,0,211.155962,213.629027,1,0.485257
1500305,Afuá,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8352.26382,0.0,149.083314,5,1,39.164658,0,0,48.572596,0.0,0,211.744816,187.250337,1,15.848061
1500347,Água Azul do Norte,0.0,109.955351,1022.979526,842.485274,44.835091,1132.934877,1,0,1,7127.720544,158.947713,2.39827,0,0,131.615534,0,0,39.622969,0.0,0,131.703917,0.0,0,200.413123
1500404,Alenquer,0.0,127.142313,472.521131,337.891755,87.21433,599.663444,1,0,1,23648.220736,25.357656,96.650914,3,1,175.639482,4,1,50.656404,0.0,0,296.878665,49.045813,1,166.732695
1500503,Almeirim,0.0,0.0,979.990027,659.124069,58.219814,979.990027,1,0,0,72964.087155,13.431128,173.091887,7,1,214.93159,11,1,22.424287,0.147911,1,214.833866,159.836091,1,214.969528
1500602,Altamira,167.673487,9.601719,1577.092388,867.271992,457.519607,1754.367593,1,1,1,159549.5414,10.995755,34.888853,2,1,238.352136,11,1,67.795107,0.0,0,292.68496,0.0,0,292.046345
1500701,Anajás,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6931.00452,0.0,92.989148,1,1,22.587437,0,0,92.026052,0.0,0,282.89011,106.705824,1,13.829472
1500800,Ananindeua,8.306527,0.0,3.342762,11.649289,0.0,11.649289,1,1,0,191.511453,60.828158,3.091189,3,1,2.918027,0,0,9.494287,0.0,0,239.612012,4.158262,1,11.127739
1500859,Anapu,77.125637,24.612865,255.643273,169.684363,80.756728,357.381775,1,1,1,11908.505931,30.010631,35.77942,0,0,102.742099,1,1,59.109141,0.30917,1,98.816482,20.733197,1,91.978252
