municipality_code,municipality,road_density_km_per_1000_km2__access,distance_to_mapped_road_km__access,port_presence__access,distance_to_port_km__access,passenger_crossing_presence__access,distance_to_passenger_crossing_km__access,navigated_waterway_presence__access,distance_to_navigated_waterway_km__access,decea_airport_presence__access,distance_to_decea_airport_km__access,component_road,component_port,component_passenger_crossing,component_navigated_waterway,component_air,mode_road,mode_water,mode_air,multimodal_access_baseline,multimodal_access_rank
1500107,Abaetetuba,0.4405594405594406,0.9230769230769231,1.0,0.972027972027972,0.0,0.14685314685314688,1.0,0.8111888111888113,1.0,0.9090909090909091,0.6818181818181819,0.986013986013986,0.07342657342657344,0.9055944055944056,0.9545454545454546,0.6818181818181819,0.655011655011655,0.9545454545454546,0.7637917637917637,3
1500131,Abel Figueiredo,0.3986013986013986,0.7342657342657343,0.0,0.32867132867132864,0.0,0.9370629370629371,0.0,0.3426573426573427,0.0,0.23076923076923073,0.5664335664335665,0.16433566433566432,0.46853146853146854,0.17132867132867136,0.11538461538461536,0.5664335664335665,0.2680652680652681,0.11538461538461536,0.3166278166278166,122
1500206,Acará,0.4755244755244755,0.46153846153846156,1.0,0.4895104895104895,0.0,0.32867132867132864,1.0,1.0,0.0,0.5104895104895104,0.46853146853146854,0.7447552447552448,0.16433566433566432,1.0,0.2552447552447552,0.46853146853146854,0.6363636363636364,0.2552447552447552,0.4533799533799533,83
1500305,Afuá,0.024475524475524476,0.006993006993006978,1.0,0.4755244755244755,0.0,0.32167832167832167,1.0,0.8461538461538461,0.0,0.19580419580419584,0.01573426573426573,0.7377622377622377,0.16083916083916083,0.9230769230769231,0.09790209790209792,0.01573426573426573,0.6072261072261073,0.09790209790209792,0.24028749028749027,136
1500347,Água Azul do Norte,0.5734265734265734,0.46853146853146854,0.0,0.11188811188811187,0.0,0.6573426573426573,0.0,0.12587412587412583,0.0,0.3496503496503497,0.520979020979021,0.05594405594405594,0.32867132867132864,0.06293706293706292,0.17482517482517484,0.520979020979021,0.14918414918414916,0.17482517482517484,0.2816627816627817,132
1500404,Alenquer,0.16783216783216784,0.034965034965035,1.0,0.034965034965035,0.0,0.09090909090909094,1.0,0.16083916083916083,1.0,0.18181818181818177,0.10139860139860142,0.5174825174825175,0.04545454545454547,0.5804195804195804,0.5909090909090908,0.10139860139860142,0.3811188811188811,0.5909090909090908,0.35780885780885774,116
1500503,Almeirim,0.13286713286713286,0.0,1.0,0.020979020979020935,1.0,0.30069930069930073,1.0,0.11188811188811187,1.0,0.6573426573426573,0.06643356643356643,0.5104895104895104,0.6503496503496504,0.5559440559440559,0.8286713286713286,0.06643356643356643,0.5722610722610723,0.8286713286713286,0.4891219891219891,67
1500602,Altamira,0.1258741258741259,0.16083916083916083,1.0,0.006993006993006978,0.0,0.11188811188811187,0.0,0.0699300699300699,1.0,0.06293706293706292,0.14335664335664336,0.5034965034965035,0.05594405594405594,0.03496503496503495,0.5314685314685315,0.14335664335664336,0.19813519813519812,0.5314685314685315,0.290986790986791,131
1500701,Anajás,0.024475524475524476,0.04195804195804198,1.0,0.6993006993006994,0.0,0.12587412587412583,1.0,0.8741258741258742,0.0,0.006993006993006978,0.03321678321678323,0.8496503496503497,0.06293706293706292,0.9370629370629371,0.003496503496503489,0.03321678321678323,0.6165501165501165,0.003496503496503489,0.21775446775446772,139
1500800,Ananindeua,0.27972027972027974,0.43356643356643354,1.0,0.993006993006993,0.0,0.2027972027972028,1.0,0.9230769230769231,0.0,0.8881118881118881,0.35664335664335667,0.9965034965034965,0.1013986013986014,0.9615384615384616,0.44405594405594406,0.35664335664335667,0.6864801864801865,0.44405594405594406,0.4957264957264957,62
1500859,Anapu,0.1888111888111888,0.15384615384615385,0.0,0.18881118881118886,1.0,0.7622377622377623,1.0,0.35664335664335667,1.0,0.13286713286713292,0.17132867132867133,0.09440559440559443,0.8811188811188811,0.6783216783216783,0.5664335664335665,0.17132867132867133,0.5512820512820513,0.5664335664335665,0.4296814296814297,93
1500909,Augusto Corrêa,0.7342657342657343,0.4825174825174825,1.0,0.7902097902097902,0.0,0.9230769230769231,0.0,0.23776223776223782,0.0,0.05594405594405594,0.6083916083916083,0.8951048951048951,0.46153846153846156,0.11888111888111891,0.02797202797202797,0.6083916083916083,0.4918414918414919,0.02797202797202797,0.37606837606837606,107
1500958,Aurora do Pará,0.8951048951048951,0.5874125874125874,1.0,0.6083916083916083,0.0,0.6153846153846154,0.0,0.5664335664335665,1.0,0.8811188811188811,0.7412587412587412,0.8041958041958042,0.3076923076923077,0.28321678321678323,0.9405594405594406,0.7412587412587412,0.465034965034965,0.9405594405594406,0.7156177156177156,8
1501006,Aveiro,0.15384615384615385,0.19580419580419584,1.0,0.39160839160839156,0.0,0.8811188811188811,1.0,0.5874125874125874,0.0,0.21678321678321677,0.17482517482517484,0.6958041958041958,0.4405594405594406,0.7937062937062938,0.10839160839160839,0.17482517482517484,0.6433566433566434,0.10839160839160839,0.3088578088578089,128
1501105,Bagre,0.1048951048951049,0.1748251748251748,0.0,0.26573426573426573,0.0,0.4405594405594405,1.0,0.49650349650349646,0.0,0.23776223776223782,0.13986013986013984,0.13286713286713286,0.22027972027972026,0.7482517482517482,0.11888111888111891,0.13986013986013984,0.3671328671328671,0.11888111888111891,0.2086247086247086,140
1501204,Baião,0.46153846153846156,0.30069930069930073,0.0,0.28671328671328666,0.0,0.28671328671328666,1.0,0.9440559440559441,0.0,0.2727272727272727,0.38111888111888115,0.14335664335664333,0.14335664335664333,0.9720279720279721,0.13636363636363635,0.38111888111888115,0.4195804195804196,0.13636363636363635,0.3123543123543124,125
1501253,Bannach,0.6363636363636364,0.3776223776223776,0.0,0.0699300699300699,0.0,0.6083916083916083,0.0,0.07692307692307687,1.0,0.8391608391608392,0.506993006993007,0.03496503496503495,0.30419580419580416,0.038461538461538436,0.9195804195804196,0.506993006993007,0.12587412587412586,0.9195804195804196,0.5174825174825175,48
1501303,Barcarena,0.6503496503496503,0.8671328671328671,1.0,0.951048951048951,0.0,0.1748251748251748,1.0,0.986013986013986,0.0,0.7412587412587412,0.7587412587412588,0.9755244755244755,0.0874125874125874,0.993006993006993,0.3706293706293706,0.7587412587412588,0.6853146853146853,0.3706293706293706,0.6048951048951049,24
1501402,Belém,0.3356643356643357,0.4475524475524476,1.0,1.0,0.0,0.18881118881118886,1.0,0.993006993006993,1.0,0.9370629370629371,0.39160839160839167,1.0,0.09440559440559443,0.9965034965034965,0.9685314685314685,0.39160839160839167,0.6969696969696969,0.9685314685314685,0.6857031857031857,11
1501451,Belterra,0.5454545454545454,0.8251748251748252,0.0,0.35664335664335667,0.0,0.5174825174825175,1.0,0.7202797202797202,1.0,0.1048951048951049,0.6853146853146853,0.17832167832167833,0.25874125874125875,0.8601398601398601,0.5524475524475525,0.6853146853146853,0.43240093240093236,0.5524475524475525,0.5567210567210567,40
1501501,Benevides,0.916083916083916,0.993006993006993,1.0,0.9020979020979021,0.0,0.25874125874125875,1.0,0.9090909090909091,1.0,0.965034965034965,0.9545454545454546,0.951048951048951,0.12937062937062938,0.9545454545454546,0.9825174825174825,0.9545454545454546,0.6783216783216783,0.9825174825174825,0.8717948717948717,1
1501576,Bom Jesus do Tocantins,0.3146853146853147,0.36363636363636365,0.0,0.5104895104895104,0.0,0.9090909090909091,0.0,0.5314685314685315,0.0,0.5454545454545454,0.33916083916083917,0.2552447552447552,0.45454545454545453,0.26573426573426573,0.2727272727272727,0.33916083916083917,0.32517482517482516,0.2727272727272727,0.3123543123543123,126
1501600,Bonito,0.8811188811188811,0.8321678321678322,1.0,0.986013986013986,0.0,0.6433566433566433,0.0,0.7062937062937062,0.0,0.6713286713286714,0.8566433566433567,0.993006993006993,0.32167832167832167,0.3531468531468531,0.3356643356643357,0.8566433566433567,0.5559440559440559,0.3356643356643357,0.5827505827505828,33
1501709,Bragança,0.6573426573426573,0.9090909090909091,1.0,0.8391608391608392,0.0,0.8671328671328671,0.0,0.3496503496503497,0.0,0.30069930069930073,0.7832167832167831,0.9195804195804196,0.43356643356643354,0.17482517482517484,0.15034965034965037,0.7832167832167831,0.5093240093240093,0.15034965034965037,0.4809634809634809,69
1501725,Brasil Novo,0.32867132867132864,0.6433566433566433,0.0,0.4405594405594405,0.0,0.7552447552447552,0.0,0.3776223776223776,0.0,0.6503496503496504,0.486013986013986,0.22027972027972026,0.3776223776223776,0.1888111888111888,0.3251748251748252,0.486013986013986,0.26223776223776224,0.3251748251748252,0.3578088578088578,115
