municipality_code,municipality,road_density_km_per_1000_km2,distance_to_mapped_road_km,port_presence,distance_to_port_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_presence,distance_to_navigated_waterway_km,decea_airport_presence,distance_to_decea_airport_km
1500107,Abaetetuba,124.794405,0.2632,1,4.469781,0,275.026926,1,17.472504,1,9.274119
1500131,Abel Figueiredo,109.910457,1.011025,0,62.051705,0,38.351425,0,94.216675,0,46.692452
1500206,Acará,130.170626,2.529937,1,38.379129,0,211.155962,1,0.485257,0,30.318113
1500305,Afuá,0.0,149.083314,1,39.164658,0,211.744816,1,15.848061,0,48.572596
1500347,Água Azul do Norte,158.947713,2.39827,0,131.615534,0,131.703917,0,200.413123,0,39.622969
1500404,Alenquer,25.357656,96.650914,1,175.639482,0,296.878665,1,166.732695,1,50.656404
1500503,Almeirim,13.431128,173.091887,1,214.93159,1,214.833866,1,214.969528,1,22.424287
1500602,Altamira,10.995755,34.888853,1,238.352136,0,292.68496,0,292.046345,1,67.795107
1500701,Anajás,0.0,92.989148,1,22.587437,0,282.89011,1,13.829472,0,92.026052
1500800,Ananindeua,60.828158,3.091189,1,2.918027,0,239.612012,1,11.127739,0,9.494287
1500859,Anapu,30.010631,35.77942,0,102.742099,1,98.816482,1,91.978252,1,59.109141
1500909,Augusto Corrêa,240.044432,2.359184,1,16.578783,0,42.220405,0,124.630101,0,68.460144
1500958,Aurora do Pará,341.318102,1.608686,1,27.098041,0,141.843151,0,48.750067,1,9.907159
1501006,Aveiro,18.093026,22.562664,1,52.332369,0,56.823958,1,46.980071,0,47.064962
1501105,Bagre,8.921356,24.879919,0,73.262336,0,183.056534,1,59.007834,0,45.489848
1501204,Baião,128.194493,5.691249,0,69.517586,0,216.643338,1,10.679704,0,44.310115
1501253,Bannach,198.139172,3.618831,0,142.899566,0,142.861505,0,288.065577,1,12.896495
1501303,Barcarena,199.443641,0.363329,1,5.827321,0,260.634201,1,4.342157,0,19.101059
1501402,Belém,79.720524,2.962058,1,2.434369,0,254.098217,1,0.804793,1,8.047367
1501451,Belterra,146.904468,0.643873,0,58.295271,0,162.23326,1,28.532213,1,63.635951
1501501,Benevides,351.228106,0.012156,1,9.741546,0,225.807568,1,11.460726,1,6.282028
1501576,Bom Jesus do Tocantins,72.75692,4.012604,0,36.58438,0,48.57473,0,55.128585,0,26.994764
1501600,Bonito,329.114978,0.589171,1,3.282105,0,132.676516,0,32.413602,0,22.099889
1501709,Bragança,204.035941,0.266623,1,13.909827,0,70.213632,0,94.119735,0,42.343878
1501725,Brasil Novo,74.776523,1.34764,0,45.05213,0,102.962554,0,86.183883,0,22.689251
1501758,Brejo Grande do Araguaia,145.577867,0.859935,0,43.235893,0,38.444642,0,85.439287,0,32.105041
1501782,Breu Branco,208.65779,0.82981,0,21.364172,0,209.403518,1,21.323005,0,26.456891
1501808,Breves,4.02416,42.071934,1,45.606241,0,236.392697,1,36.533398,1,53.114871
1501907,Bujaru,211.862038,1.194822,1,14.875323,0,191.673703,1,9.623472,0,44.688019
1501956,Cachoeira do Piriá,130.502828,2.069963,1,25.762499,1,25.780051,0,126.181931,0,52.450758
1502004,Cachoeira do Arari,41.43988,10.233349,0,21.888952,0,317.067959,1,23.035476,1,20.747602
1502103,Cametá,120.378257,0.896651,1,3.915779,0,260.131507,1,10.910093,1,26.139757
1502152,Canaã dos Carajás,128.897028,4.132436,0,133.07938,0,110.086107,0,156.459625,1,35.291203
1502202,Capanema,404.567643,0.094377,0,27.530275,0,110.563042,0,63.13717,1,9.329743
1502301,Capitão Poço,260.479134,0.719097,0,54.709215,0,93.860835,0,54.769269,1,26.496153
1502400,Castanhal,516.79263,0.946913,0,24.724743,0,199.460709,0,24.332928,1,1.931531
1502509,Chaves,0.0,146.497634,1,23.478286,0,312.906055,1,21.20129,1,34.938277
1502608,Colares,167.646811,0.295385,1,6.598911,0,235.418249,1,16.477118,1,9.417342
1502707,Conceição do Araguaia,116.916364,3.428328,1,32.37286,0,66.963538,0,319.942096,1,30.668054
1502756,Concórdia do Pará,388.674408,1.474435,0,24.991472,0,176.178083,0,21.916064,0,30.945591
1502764,Cumaru do Norte,58.189316,4.18092,0,174.535977,0,169.915515,0,425.487094,1,8.935407
1502772,Curionópolis,246.656065,3.902734,0,117.499678,0,93.267611,0,114.399094,1,16.246009
1502806,Curralinho,0.390747,38.789458,1,38.32045,0,252.314704,1,24.020606,0,45.200925
1502855,Curuá,52.263267,1.198235,1,12.485796,0,292.448665,1,41.904408,0,43.111601
1502905,Curuçá,285.769333,0.182924,1,5.694257,0,199.245679,0,44.777926,0,53.336535
1502939,Dom Eliseu,126.71261,2.394034,0,132.43096,0,122.581565,0,189.909138,1,32.072133
1502954,Eldorado do Carajás,245.060573,0.254672,0,85.888994,0,83.907769,0,85.508137,0,43.769289
1503002,Faro,4.551586,83.838063,1,158.59668,0,404.955734,1,144.737326,0,83.534963
1503044,Floresta do Araguaia,192.413807,3.257461,1,25.405438,1,25.11165,0,249.275498,1,29.022714
1503077,Garrafão do Norte,259.95076,0.298948,0,72.388624,0,72.386358,0,79.509795,0,43.763009
1503093,Goianésia do Pará,97.77405,9.123911,0,105.89363,0,149.060498,1,95.662255,1,20.852293
1503101,Gurupá,0.0,90.154294,1,36.489965,0,120.671649,1,17.46272,0,80.000614
1503200,Igarapé-Açu,421.618684,0.473375,0,33.64783,0,160.432741,0,47.978954,0,42.256136
1503309,Igarapé-Miri,59.835878,5.696216,0,33.983052,0,295.872647,1,17.165622,0,33.80764
1503408,Inhangapi,301.65791,1.328158,1,12.369987,0,185.925224,1,9.398761,0,23.2536
1503457,Ipixuna do Pará,243.549247,0.098927,0,18.254421,0,186.812676,0,99.486049,1,30.114385
1503507,Irituia,294.495399,1.889745,0,25.034402,0,116.559944,1,24.75502,0,23.917454
1503606,Itaituba,29.74266,1.791497,1,136.556005,1,192.821955,1,182.67792,1,29.363924
1503705,Itupiranga,141.185655,0.351786,1,63.93761,0,151.774127,1,55.859766,0,44.797906
1503754,Jacareacanga,5.408974,110.139705,1,140.144981,0,396.53092,0,378.619478,1,17.739064
1503804,Jacundá,152.477125,1.449757,0,61.447372,0,115.581386,1,23.95704,0,41.661156
1503903,Juruti,33.342137,10.271313,1,48.097514,0,182.475006,1,34.486026,1,51.976541
1504000,Limoeiro do Ajuru,14.48399,7.528734,1,12.842,0,280.771196,1,15.091287,0,64.747154
1504059,Mãe do Rio,347.349228,0.74461,0,26.984219,0,122.750798,0,33.941036,0,32.161935
1504109,Magalhães Barata,334.766567,1.231231,0,29.160123,0,172.840721,0,71.011883,0,36.559136
1504208,Marabá,87.495104,5.677863,1,81.517492,0,152.950802,1,79.150116,1,20.593763
1504307,Maracanã,297.863113,0.497068,0,16.679358,0,156.442931,0,86.22266,0,20.033843
1504406,Marapanim,274.678183,1.265217,0,17.599093,0,185.888248,0,58.296276,0,48.032515
1504422,Marituba,290.706436,1.788542,0,7.890976,0,230.064465,1,6.993055,0,9.247753
1504455,Medicilândia,46.235199,21.181709,0,111.613418,0,168.587052,0,135.617727,0,87.450373
1504505,Melgaço,0.0,53.826673,0,49.954019,0,180.113883,1,34.909808,1,55.745666
1504604,Mocajuba,163.874724,2.288957,0,30.243597,0,267.972326,1,13.311088,0,10.740691
1504703,Moju,104.32514,3.249788,1,8.442254,0,293.856242,1,8.722416,1,33.816432
1504752,Mojuí dos Campos,215.269553,0.153948,0,71.172278,0,208.527764,0,68.462391,0,59.808686
1504802,Monte Alegre,61.140626,43.340714,1,111.914174,0,195.320455,1,113.531037,1,64.363657
1504901,Muaná,0.0,53.91193,1,27.534143,0,329.625149,1,27.534106,0,59.441122
1504950,Nova Esperança do Piriá,173.031913,7.253874,0,43.67362,0,43.66254,0,114.759311,0,75.469576
1504976,Nova Ipixuna,140.261788,1.873375,0,18.99706,0,83.322467,1,13.737767,0,31.550067
1505007,Nova Timboteua,451.790054,0.264711,0,26.20391,0,141.544517,0,50.903751,0,23.867792
1505031,Novo Progresso,55.84549,8.163881,0,238.709633,0,401.942193,0,393.264122,1,36.599953
1505064,Novo Repartimento,141.975105,1.772234,0,100.944163,0,205.716966,1,73.403372,1,40.245305
1505106,Óbidos,22.937412,99.487417,1,183.221756,0,373.004857,1,179.331713,1,45.295109
1505205,Oeiras do Pará,59.616692,1.140548,1,50.007675,0,213.36914,1,40.066688,0,63.925057
1505304,Oriximiná,5.886963,71.51056,1,229.82161,0,531.634669,1,230.019064,1,156.796905
1505403,Ourém,272.768551,0.804876,0,22.881053,0,113.047909,0,42.770523,0,19.696077
1505437,Ourilândia do Norte,28.906662,38.186514,0,104.332393,0,235.215498,0,346.647125,1,25.758599
1505486,Pacajá,57.494225,4.096448,0,105.495403,0,137.539377,0,104.534446,1,15.66316
1505494,Palestina do Pará,138.995846,1.843644,0,38.488619,1,23.713142,0,107.532452,1,28.716321
1505502,Paragominas,186.576687,1.309686,1,49.457491,0,145.027919,0,149.970282,1,4.479288
1505536,Parauapebas,80.251938,24.202136,0,170.248147,0,163.28186,0,165.737074,1,48.317439
1505551,Pau D'Arco,277.404101,1.389605,0,86.634346,0,86.225033,0,283.742164,0,24.588067
1505601,Peixe-Boi,328.552577,2.123306,0,26.614426,0,126.892753,0,60.220879,0,13.634637
1505635,Piçarra,194.706117,2.317601,0,52.987325,1,35.980718,0,134.923464,1,6.774691
1505650,Placas,102.045781,2.306304,0,103.721391,0,173.985445,0,105.079552,1,22.391527
1505700,Ponta de Pedras,10.17339,15.925263,1,15.558086,0,318.5715,1,13.630503,1,23.60923
1505809,Portel,18.07805,37.003432,1,67.477543,0,95.747988,1,81.244383,1,26.353867
1505908,Porto de Moz,3.234077,61.972359,1,60.136422,0,145.111794,1,42.661535,1,22.698718
1506005,Prainha,45.127468,14.366606,1,12.634637,0,155.258919,1,11.067721,1,15.517287
1506104,Primavera,366.794866,1.046104,0,10.021761,0,117.144889,0,85.382229,0,33.016925
