municipality_code,municipality,equal_modes__equal_roles__score,equal_modes__equal_roles__rank,equal_modes__availability_emphasis__score,equal_modes__availability_emphasis__rank,equal_modes__proximity_emphasis__score,equal_modes__proximity_emphasis__rank,road_emphasis__equal_roles__score,road_emphasis__equal_roles__rank,road_emphasis__availability_emphasis__score,road_emphasis__availability_emphasis__rank,road_emphasis__proximity_emphasis__score,road_emphasis__proximity_emphasis__rank,water_emphasis__equal_roles__score,water_emphasis__equal_roles__rank,water_emphasis__availability_emphasis__score,water_emphasis__availability_emphasis__rank,water_emphasis__proximity_emphasis__score,water_emphasis__proximity_emphasis__rank,air_emphasis__equal_roles__score,air_emphasis__equal_roles__rank,air_emphasis__availability_emphasis__score,air_emphasis__availability_emphasis__rank,air_emphasis__proximity_emphasis__score,air_emphasis__proximity_emphasis__rank,mean_rank,minimum_rank,maximum_rank,rank_range,mean_score,score_range
1500107,Abaetetuba,0.7637917637917637,3,0.7433307433307432,4,0.7842527842527842,4,0.7432983682983684,7,0.7078477078477079,9,0.7787490287490288,5,0.7365967365967366,3,0.7222222222222222,3,0.750971250971251,3,0.8114801864801865,5,0.7999222999222999,4,0.823038073038073,5,4.583333333333333,3,9,6,0.763791763791764,0.11519036519036507
1500131,Abel Figueiredo,0.3166278166278166,122,0.2553742553742553,130,0.3778813778813778,111,0.37907925407925414,109,0.3191530691530691,123,0.4390054390054389,92,0.3044871794871795,131,0.23620823620823617,138,0.3727661227661227,113,0.2663170163170163,129,0.21076146076146074,133,0.3218725718725718,120,120.91666666666667,92,138,46,0.3166278166278166,0.22824397824397819
1500206,Acará,0.4533799533799533,83,0.4291634291634291,86,0.4775964775964775,80,0.45716783216783213,86,0.4395881895881895,91,0.4747474747474747,86,0.4991258741258741,51,0.48348873348873345,57,0.5147630147630147,55,0.40384615384615385,95,0.36441336441336436,95,0.4432789432789432,86,79.25,51,95,44,0.45337995337995335,0.1503496503496503
1500305,Afuá,0.24028749028749027,136,0.23698523698523696,135,0.24358974358974356,135,0.18414918414918416,139,0.1824009324009324,138,0.1858974358974359,138,0.3320221445221445,122,0.3344988344988345,115,0.32954545454545453,125,0.2046911421911422,134,0.19405594405594406,134,0.21532634032634032,135,132.16666666666666,115,139,24,0.24028749028749027,0.1520979020979021
1500347,Água Azul do Norte,0.2816627816627817,132,0.25148925148925144,132,0.3118363118363118,124,0.34149184149184153,114,0.3232323232323232,119,0.35975135975135974,112,0.24854312354312352,137,0.2134809634809635,141,0.2836052836052836,130,0.25495337995337997,131,0.21775446775446775,131,0.29215229215229216,127,127.5,112,141,29,0.2816627816627817,0.14627039627039626
1500404,Alenquer,0.35780885780885774,116,0.44237244237244233,80,0.27324527324527326,131,0.2937062937062937,127,0.36266511266511264,114,0.22474747474747475,133,0.36363636363636365,109,0.4508547008547008,67,0.2764180264180264,133,0.41608391608391604,88,0.5135975135975135,65,0.31857031857031853,123,107.16666666666667,65,133,68,0.3578088578088578,0.28885003885003874
1500503,Almeirim,0.4891219891219891,67,0.563066563066563,35,0.41517741517741513,98,0.3834498834498834,108,0.4444444444444444,87,0.32245532245532244,117,0.5099067599067599,48,0.601010101010101,22,0.4188034188034188,95,0.574009324009324,47,0.6437451437451437,35,0.5042735042735043,66,68.75,22,117,95,0.4891219891219892,0.32128982128982125
1500602,Altamira,0.290986790986791,131,0.35612535612535606,113,0.2258482258482258,138,0.2540792540792541,133,0.30147630147630144,127,0.20668220668220666,135,0.26777389277389274,136,0.3278943278943279,116,0.20765345765345763,141,0.3511072261072261,111,0.439005439005439,79,0.2632090132090132,130,124.16666666666667,79,141,62,0.290986790986791,0.23232323232323232
1500701,Anajás,0.21775446775446772,139,0.22196322196322196,138,0.2135457135457135,140,0.1716200466200466,140,0.17404817404817408,139,0.16919191919191917,140,0.3174533799533799,126,0.3247863247863248,117,0.31012043512043513,127,0.16418997668997667,140,0.16705516705516704,138,0.16132478632478633,140,135.33333333333334,117,140,23,0.21775446775446772,0.16346153846153846
1500800,Ananindeua,0.4957264957264957,62,0.43563843563843563,84,0.5558145558145557,45,0.460955710955711,84,0.40947940947940953,102,0.5124320124320124,68,0.5434149184149184,39,0.4966977466977467,50,0.5901320901320901,30,0.4828088578088578,65,0.4007381507381507,84,0.5648795648795648,49,63.5,30,102,72,0.4957264957264957,0.1893939393939394
