scenario,transport_scenario,macro_weight_scenario,reference_scenario,rank_correlation,top_k,top_k_overlap_count,top_k_overlap_fraction,top_quartile_cutoff,top_quartile_overlap_count,top_quartile_overlap_fraction,mean_absolute_rank_shift,median_absolute_rank_shift,maximum_absolute_rank_shift
equal_modes__equal_roles___equal_dimensions,equal_modes__equal_roles,equal_dimensions,equal_modes__equal_roles___equal_dimensions,1.0,10,10,1.0,36,36,1.0,0.0,0.0,0
equal_modes__equal_roles___institutional_emphasis,equal_modes__equal_roles,institutional_emphasis,equal_modes__equal_roles___equal_dimensions,0.9746483401655816,10,8,0.8,36,31,0.8611111111111112,6.569444444444445,4.0,37
equal_modes__equal_roles___service_network_emphasis,equal_modes__equal_roles,service_network_emphasis,equal_modes__equal_roles___equal_dimensions,0.9707459207459207,10,8,0.8,36,29,0.8055555555555556,7.333333333333333,5.0,38
equal_modes__equal_roles___transport_emphasis,equal_modes__equal_roles,transport_emphasis,equal_modes__equal_roles___equal_dimensions,0.9630455751145407,10,7,0.7,36,31,0.8611111111111112,8.097222222222221,6.0,34
equal_modes__availability_emphasis___equal_dimensions,equal_modes__availability_emphasis,equal_dimensions,equal_modes__equal_roles___equal_dimensions,0.9963387187525119,10,9,0.9,36,34,0.9444444444444444,2.6666666666666665,2.0,11
equal_modes__availability_emphasis___institutional_emphasis,equal_modes__availability_emphasis,institutional_emphasis,equal_modes__equal_roles___equal_dimensions,0.9738525841974118,10,8,0.8,36,30,0.8333333333333334,6.902777777777778,5.0,36
equal_modes__availability_emphasis___service_network_emphasis,equal_modes__availability_emphasis,service_network_emphasis,equal_modes__equal_roles___equal_dimensions,0.966674704605739,10,8,0.8,36,29,0.8055555555555556,7.736111111111111,5.0,37
equal_modes__availability_emphasis___transport_emphasis,equal_modes__availability_emphasis,transport_emphasis,equal_modes__equal_roles___equal_dimensions,0.9546539667229322,10,8,0.8,36,29,0.8055555555555556,9.597222222222221,8.0,31
equal_modes__proximity_emphasis___equal_dimensions,equal_modes__proximity_emphasis,equal_dimensions,equal_modes__equal_roles___equal_dimensions,0.9962703962703963,10,8,0.8,36,33,0.9166666666666666,2.7083333333333335,2.0,12
equal_modes__proximity_emphasis___institutional_emphasis,equal_modes__proximity_emphasis,institutional_emphasis,equal_modes__equal_roles___equal_dimensions,0.9714251265975404,10,7,0.7,36,31,0.8611111111111112,7.013888888888889,4.5,39
equal_modes__proximity_emphasis___service_network_emphasis,equal_modes__proximity_emphasis,service_network_emphasis,equal_modes__equal_roles___equal_dimensions,0.9710312675829917,10,8,0.8,36,30,0.8333333333333334,7.416666666666667,5.0,37
equal_modes__proximity_emphasis___transport_emphasis,equal_modes__proximity_emphasis,transport_emphasis,equal_modes__equal_roles___equal_dimensions,0.9533437826541276,10,7,0.7,36,29,0.8055555555555556,9.472222222222221,6.0,36
road_emphasis__equal_roles___equal_dimensions,road_emphasis__equal_roles,equal_dimensions,equal_modes__equal_roles___equal_dimensions,0.9909624577901089,10,7,0.7,36,34,0.9444444444444444,4.354166666666667,3.0,14
road_emphasis__equal_roles___institutional_emphasis,road_emphasis__equal_roles,institutional_emphasis,equal_modes__equal_roles___equal_dimensions,0.9689028910510062,10,6,0.6,36,31,0.8611111111111112,7.618055555555555,5.0,40
road_emphasis__equal_roles___service_network_emphasis,road_emphasis__equal_roles,service_network_emphasis,equal_modes__equal_roles___equal_dimensions,0.9690279925424249,10,8,0.8,36,30,0.8333333333333334,7.868055555555555,6.0,37
road_emphasis__equal_roles___transport_emphasis,road_emphasis__equal_roles,transport_emphasis,equal_modes__equal_roles___equal_dimensions,0.9370584397184509,10,5,0.5,36,28,0.7777777777777778,11.4375,9.0,42
