municipality_code,municipality,mean_priority_score,mean_priority_rank,top_quartile_frequency,priority_stability_profile,female_population_2022,selected_vaw_records_2022_2025,mean_annual_selected_vaw_rate_per_100k_women,rate_2022,rate_2023,rate_2024,rate_2025,rate_linear_slope_per_year,rate_cv,years_at_or_above_state_median,contextual_pattern
1506401,Santa Cruz do Arari,0.8859084434084433,1.1458333333333333,1,robust_higher_capacity_strengthening_priority,3557,61,428.7320775934777,618.4987348889514,309.2493674444757,421.7036828788305,365.4765251616531,-64.66123137475401,0.2718544910127377,3,higher_priority_higher_observed_rate
1501253,Bannach,0.8193630359539449,3.3541666666666665,1,robust_higher_capacity_strengthening_priority,1867,21,281.1997857525442,107.12372790573112,696.3042313872522,160.68559185859667,160.68559185859667,-37.49330476700588,0.8558190836005442,1,higher_priority_lower_observed_rate
1508050,Trairão,0.8026918367827459,3.7708333333333335,1,robust_higher_capacity_strengthening_priority,7222,141,488.09194129050127,387.7042370534478,636.9426751592357,470.78371642204377,456.93713652727774,4.15397396842979,0.1875078590979048,4,higher_priority_higher_observed_rate
1507961,Terra Alta,0.8030626780626783,3.9375,1,robust_higher_capacity_strengthening_priority,5103,87,426.21987066431507,274.3484224965706,470.31158142269254,685.8710562414266,274.3484224965706,21.555947481873396,0.39867000450631335,2,higher_priority_higher_observed_rate
1504752,Mojuí dos Campos,0.7579318829318828,6.979166666666667,1,robust_higher_capacity_strengthening_priority,11270,97,215.17302573203196,239.57409050576754,150.84294587400177,230.70097604259092,239.57409050576754,7.985803016858915,0.17342890558000745,0,higher_priority_lower_observed_rate
1505551,Pau DArco,0.7551199642108735,8.833333333333334,1,robust_higher_capacity_strengthening_priority,3376,43,318.42417061611377,414.69194312796213,385.07109004739334,177.7251184834123,296.2085308056872,-56.27962085308059,0.28953254879043566,2,higher_priority_lower_observed_rate
1506112,Quatipuru,0.731643356643357,9.8125,1,robust_higher_capacity_strengthening_priority,5676,85,374.38336856941504,440.4510218463707,405.214940098661,405.214940098661,246.65257223396756,-58.139534883720934,0.2006908483439057,3,higher_priority_higher_observed_rate
1501006,Aveiro,0.7241823832732924,11.229166666666666,1,robust_higher_capacity_strengthening_priority,8704,67,192.4402573529412,137.86764705882354,275.7352941176471,137.86764705882354,218.29044117647058,10.34007352941176,0.3025841034733327,0,higher_priority_lower_observed_rate
1501956,Cachoeira do Piriá,0.7159532386805112,12.9375,1,robust_higher_capacity_strengthening_priority,9279,108,290.97963142580016,269.4255846535187,215.54046772281495,247.8715378812372,431.0809354456299,51.72971225347559,0.2856897892692873,1,higher_priority_lower_observed_rate
1505106,Óbidos,0.7128982128982128,14.041666666666666,0.9791666666666666,robust_higher_capacity_strengthening_priority,25485,256,251.12811457720227,298.2146360604277,329.605650382578,207.96546988424564,168.7267019815578,-51.01039827349422,0.25981701794243584,0,higher_priority_lower_observed_rate
1500859,Anapu,0.708701231428504,14.75,0.9791666666666666,robust_higher_capacity_strengthening_priority,15245,269,441.12823876680875,472.28599540833056,419.8097736962939,426.3693014102984,446.0478845523122,-7.215480485405055,0.046282154639363283,4,higher_priority_higher_observed_rate
1503200,Igarapé-Açu,0.7036507263779991,15.145833333333334,1,robust_higher_capacity_strengthening_priority,18030,240,332.77870216306155,293.9545202440377,349.4176372712147,327.2323904603439,360.51026067665003,17.74819744869661,0.07637626158259736,0,higher_priority_lower_observed_rate
1504901,Muaná,0.7091279932189024,15.208333333333334,1,robust_higher_capacity_strengthening_priority,22371,370,413.48173975235795,375.4861204237629,411.2467033212642,442.5372133565777,424.65692190782704,17.880291448750597,0.059459459459459456,4,higher_priority_higher_observed_rate
1502764,Cumaru do Norte,0.701578724305997,15.958333333333334,0.9583333333333334,robust_higher_capacity_strengthening_priority,6330,118,466.0347551342812,616.1137440758295,394.9447077409163,489.7314375987362,363.349131121643,-66.35071090047396,0.2110152474235379,3,higher_priority_higher_observed_rate
1506583,Santa Maria das Barreiras,0.711744484471757,16.104166666666668,0.9166666666666666,robust_higher_capacity_strengthening_priority,7778,89,286.06325533556185,231.42195937258938,347.13293905888406,244.27873489328874,321.4193880174852,16.713808176909204,0.17224392940175157,0,higher_priority_lower_observed_rate
1507805,Senador José Porfírio,0.7144231946504677,16.208333333333332,0.9375,robust_higher_capacity_strengthening_priority,10381,178,428.66775840477794,356.42038339273677,510.548116751758,356.42038339273677,491.28215008188033,25.045756670840944,0.16928673228448718,3,higher_priority_higher_observed_rate
1507474,São João de Pirabas,0.6896647123919851,18.333333333333332,0.9791666666666666,robust_higher_capacity_strengthening_priority,10031,139,346.4260791546207,289.10377828730935,418.70202372644803,448.60931113548,229.28920346924534,-14.953643704516008,0.260884379344874,2,higher_priority_lower_observed_rate
