municipality_code,municipality,institutional_deficit,service_component_health_deficit,service_component_social_protection_deficit,service_component_justice_deficit,service_component_specialized_protection_network_deficit,service_network_deficit,mean_priority_score,mean_priority_rank,best_priority_rank,worst_priority_rank,priority_rank_range,top_10_frequency,top_quartile_frequency,bottom_quartile_frequency,priority_stability_profile
1506401,Santa Cruz do Arari,1.0,0.9766666666666667,1.0,0.0,1.0,0.7441666666666666,0.8859084434084433,1.1458333333333333,1,2,1,1.0,1.0,0.0,robust_higher_capacity_strengthening_priority
1501253,Bannach,1.0,0.9022865013774105,1.0,1.0,1.0,0.9755716253443526,0.8193630359539449,3.3541666666666665,1,20,19,0.9375,1.0,0.0,robust_higher_capacity_strengthening_priority
1508050,Trairão,1.0,0.4256198347107438,1.0,1.0,1.0,0.856404958677686,0.8026918367827459,3.7708333333333335,2,12,10,0.9791666666666666,1.0,0.0,robust_higher_capacity_strengthening_priority
1507961,Terra Alta,1.0,0.5,1.0,1.0,1.0,0.875,0.8030626780626783,3.9375,2,17,15,0.9583333333333334,1.0,0.0,robust_higher_capacity_strengthening_priority
1504752,Mojuí dos Campos,1.0,0.5,0.0,1.0,1.0,0.625,0.7579318829318828,6.979166666666667,2,21,19,0.875,1.0,0.0,robust_higher_capacity_strengthening_priority
1505551,Pau DArco,0.8083333333333333,0.4256198347107438,1.0,1.0,1.0,0.856404958677686,0.7551199642108735,8.833333333333334,4,21,17,0.6458333333333334,1.0,0.0,robust_higher_capacity_strengthening_priority
1506112,Quatipuru,1.0,0.5,0.0,1.0,1.0,0.625,0.731643356643357,9.8125,6,20,14,0.6875,1.0,0.0,robust_higher_capacity_strengthening_priority
1501006,Aveiro,1.0,0.9256198347107438,0.0,0.0,1.0,0.48140495867768596,0.7241823832732924,11.229166666666666,4,24,20,0.5625,1.0,0.0,robust_higher_capacity_strengthening_priority
1501956,Cachoeira do Piriá,1.0,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.7159532386805112,12.9375,7,24,17,0.2708333333333333,1.0,0.0,robust_higher_capacity_strengthening_priority
1505106,Óbidos,1.0,0.0,0.0,1.0,1.0,0.5,0.7128982128982128,14.041666666666666,2,38,36,0.4166666666666667,0.9791666666666666,0.0,robust_higher_capacity_strengthening_priority
1500859,Anapu,1.0,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.708701231428504,14.75,6,37,31,0.25,0.9791666666666666,0.0,robust_higher_capacity_strengthening_priority
1503200,Igarapé-Açu,1.0,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.7036507263779991,15.145833333333334,8,33,25,0.25,1.0,0.0,robust_higher_capacity_strengthening_priority
1504901,Muaná,1.0,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.7091279932189024,15.208333333333334,2,36,34,0.3125,1.0,0.0,robust_higher_capacity_strengthening_priority
