transport_scenario,macro_weight_scheme,method_a,method_b,spearman_rank_correlation,top_10_overlap,top_quartile_overlap,mean_absolute_rank_shift,maximum_absolute_rank_shift
equal_modes__equal_roles,equal_dimensions,additive,topsis,0.9729121453259384,9.0,29.0,7.486111111111111,27.0
equal_modes__equal_roles,equal_dimensions,additive,promethee_ii,0.9265732790254201,8.0,29.0,12.055555555555555,46.0
equal_modes__equal_roles,equal_dimensions,topsis,promethee_ii,0.9355235421679973,7.0,27.0,11.222222222222221,50.0
equal_modes__equal_roles,institutional_emphasis,additive,topsis,0.9951089140744313,8.0,35.0,2.9583333333333335,13.0
equal_modes__equal_roles,institutional_emphasis,additive,promethee_ii,0.9643123759886576,8.0,30.0,8.256944444444445,32.0
equal_modes__equal_roles,institutional_emphasis,topsis,promethee_ii,0.9551671648659882,7.0,30.0,9.36111111111111,39.0
equal_modes__equal_roles,service_network_emphasis,additive,topsis,0.9488063660477453,8.0,32.0,10.319444444444445,42.0
equal_modes__equal_roles,service_network_emphasis,additive,promethee_ii,0.9451543608372693,8.0,31.0,10.416666666666666,35.0
equal_modes__equal_roles,service_network_emphasis,topsis,promethee_ii,0.957020535308384,6.0,31.0,9.38888888888889,40.5
equal_modes__equal_roles,transport_emphasis,additive,topsis,0.9506189213085765,7.0,30.0,10.375,31.0
equal_modes__equal_roles,transport_emphasis,additive,promethee_ii,0.8990686866691797,7.0,28.0,14.20138888888889,43.5
equal_modes__equal_roles,transport_emphasis,topsis,promethee_ii,0.9703685768617333,7.0,33.0,6.840277777777778,43.0
equal_modes__availability_emphasis,equal_dimensions,additive,topsis,0.9723977172253034,7.0,31.0,7.638888888888889,26.0
equal_modes__availability_emphasis,equal_dimensions,additive,promethee_ii,0.931402878613145,8.0,29.0,11.840277777777779,43.0
equal_modes__availability_emphasis,equal_dimensions,topsis,promethee_ii,0.9361653814390571,5.0,28.0,11.159722222222221,52.0
equal_modes__availability_emphasis,institutional_emphasis,additive,topsis,0.9950044208664899,9.0,34.0,2.7916666666666665,15.0
equal_modes__availability_emphasis,institutional_emphasis,additive,promethee_ii,0.9630121584969209,8.0,30.0,8.319444444444445,31.0
equal_modes__availability_emphasis,institutional_emphasis,topsis,promethee_ii,0.9530410249483915,8.0,29.0,9.722222222222221,37.0
equal_modes__availability_emphasis,service_network_emphasis,additive,topsis,0.950916325054256,8.0,32.0,10.055555555555555,38.0
equal_modes__availability_emphasis,service_network_emphasis,additive,promethee_ii,0.947989365803145,7.0,32.0,10.125,37.0
equal_modes__availability_emphasis,service_network_emphasis,topsis,promethee_ii,0.9601510364483016,5.0,31.0,9.0625,36.0
equal_modes__availability_emphasis,transport_emphasis,additive,topsis,0.953809983120328,7.0,32.0,10.083333333333334,32.0
equal_modes__availability_emphasis,transport_emphasis,additive,promethee_ii,0.9105797741483539,6.0,30.0,13.48611111111111,43.5
equal_modes__availability_emphasis,transport_emphasis,topsis,promethee_ii,0.9730976713611702,8.0,33.0,6.694444444444445,43.5
equal_modes__proximity_emphasis,equal_dimensions,additive,topsis,0.969644723092999,8.0,28.0,7.833333333333333,29.0
equal_modes__proximity_emphasis,equal_dimensions,additive,promethee_ii,0.9293663265340167,8.0,26.0,12.118055555555555,47.0
equal_modes__proximity_emphasis,equal_dimensions,topsis,promethee_ii,0.9358167985639381,7.0,26.0,10.979166666666666,49.0
equal_modes__proximity_emphasis,institutional_emphasis,additive,topsis,0.9943453098625513,8.0,36.0,3.1805555555555554,13.0
equal_modes__proximity_emphasis,institutional_emphasis,additive,promethee_ii,0.9647273012431223,8.0,31.0,8.17361111111111,32.0
