UF,Município,Nome do Serviço,Categoria Padronizada,Telefone,Endereço do Serviço,Situação da Transcrição,Observações
PA,Abaetetuba,Centro de Referência Especializado de Atendimento à Mulher (CREAM),Centro de Referência,,,Sem contato visível,
PA,Abaetetuba,Centro de Testagem e Aconselhamento,Serviço de Saúde,(91) 3751-2003,"Av. 15 de Agosto, s/n, Centro",Completo,
PA,Abaetetuba,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 99899-6332,"Rua Sete de Setembro, s/n, Centro",Completo,
PA,Altamira,Abrigo de Mulheres Vítimas de Agressão,Casa Abrigo,SIGILOSO,SIGILOSO,Sigiloso,
PA,Altamira,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 98561-1908,"Rua Curitiba, nº 2973, Bairro Jardim Uirapuru, próximo à UPA, Altamira/PA",Completo,
PA,Altamira,Hospital Geral de Altamira São Rafael,Serviço de Saúde,(93) 99184-2131,"Rua Seis, 2089, Mutirão",Completo,
PA,Altamira,UPA 24 de Altamira,Serviço de Saúde,N/I,"Rua Irapuru, 458, Jardim Uirapuru",Completo,
PA,Altamira,Vara de Juizado de Violência Doméstica e Familiar contra a Mulher,Juizado/Vara especializada,(93) 3515-4014,"Avenida Brigadeiro Eduardo Gomes, nº 1651, Bairro São Sebastião",Completo,
PA,Ananindeua,Casa da Mulher Brasileira - Ananindeua (PA),Casa da Mulher Brasileira,N/I,"Av. Claude Saunders, 28, Centro. Acesso pela Rua Quinta das Carmitas",Completo,
PA,Ananindeua,Centro de Referência de Atendimento à Mulher em Situação de Violência (CRAM),Centro de Referência,(91) 9814-17495,"Conjunto Cidade Nova 08, Estrada da Providência, s/n, entre SN 30 e 33, ao lado do Juizado Especial de Ananindeua, Bairro Coqueiro",Completo,
PA,Ananindeua,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 98435-2596,"Av. Claudio Sanders, nº 28, dentro da Casa da Mulher Brasileira, ao lado do Parque Cultural Vila Maguari, Ananindeua/PA",Completo,
PA,Aurora do Pará,Hospital Municipal de Aurora do Pará,Serviço de Saúde,N/I,"Rua Benedito Almeida, 621, Aparecida, Hospital",Completo,
PA,Aurora do Pará,USF Almerinda Torres Barbosa,Serviço de Saúde,(91) 3802-1134,"Comunidade Vila Fátima, Rod. BR-010, km 75, s/n, Zona Rural",Completo,
PA,Aurora do Pará,USF Bernardo de Oliveira Pantoja,Serviço de Saúde,N/I,"Vila de Santana do Capim, s/n, Zona Rural",Completo,
PA,Aurora do Pará,USF Ernane Fernandes Gusmão,Serviço de Saúde,(91) 3802-1134,"Rua da Mangueira, s/n, Manelândia",Completo,
PA,Aurora do Pará,USF Luiz Vidal de Carvalho,Serviço de Saúde,(91) 3802-1134,"Rua São Pedro, s/n, Aparecida, PSF",Completo,
PA,Aurora do Pará,USF Osvaldo Boareto,Serviço de Saúde,(91) 3802-1134,"Rua Estrela de Ouro, 56, Centro, USF",Completo,
PA,Aurora do Pará,USF Pedro Alves Ferreira,Serviço de Saúde,(91) 3802-1134,"Vila do Repartimento, s/n, Zona Rural, ESF",Completo,
PA,Baião,Hospital Municipal São Joaquim,Serviço de Saúde,(91) 3795-1449,"Rua Doutor Bena Santana, s/n, Novo São Francisco",Completo,
